screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
apasokikos,2021-02-05T20:00:18Z,"Αυτό κι αν είναι ντέρμπι 👇👇👇
Ψηφιστε

#olypao #metoo #AgriesMelisses #SuperMakeOverGR #radioarvyla #φιλλιπιδης #χατζης #Λιγναδης #Κιμούλης #Σπυρόπουλος #μουτσης #Φιλιππιδης #radioarvyla #aggeliki #Exapsi https://t.co/oJpt6CEtIN",,,"Προοδευτικός και πατριώτης. Το πρωί πολιτική, το βράδυ ριαλιτι. 😎",Twitter for Android,el,1357781114568511489
tRT33810033,2021-02-05T19:59:37Z,"Και ο γιός τα ίδιο μπουμπούκι με τον πατέρα σύμφωνα με την ανάρτηση. 
#φιλιππιδη #MeToo #χατζης #Φιλιππιδης #Κιμουλης #Σπυρόπουλος https://t.co/1nK9t2RTmz",,,"into hard sex long sessions, gym",Twitter Web App,el,1357780941310197766
popianagnostou_,2021-02-05T19:54:12Z,Ανδρείκελα σαν τον #φιλιππιδη φθονούν τους άλλους άντρες λόγω της ασχήμιας της δικής τους.Τραμπουκίζουν επειδή δίπλα στους άλλους νιώθουν μειονεκτικά.Διεκδικούν με βία γυναίκες γιατί εκδικούνται μια συγκεκριμένη γυναίκα.Ψυχιατρική περίπτωση σε συνδιασμό με εξουσία #metoo,,,"Tv worker 📽
Journalist 🎙📰 
Instagram
@popi__ana",Twitter for Android,el,1357779577385410560
trebotroll,2021-02-05T19:53:03Z,"Άρχισαν τα πούστικα τα ΑΡΔακια. Θα δώσουν τον γέρο για να τη γλιτώσουν οι νεότεροι.

Αλήθεια με τον #Χατζή τι έγινε?
Καταφέρατε να ψέλλισε τε το όνομά του.
#χατζης #metooGR #metoo
#Φιλιππιδης https://t.co/QZWrwRErdX",,,🎧,Twitter for Android,el,1357779287173120000
donasterios,2021-02-05T19:51:50Z,Σε ευχαριστούμε πολύ Κάτια για τη δύναμη που μας δίνεις και το ήθος που μας διδάσκεις. Ο Μάριος από ψηλά σε βλέπει και χαμογελά! #Δανδουλάκη #δανδουλακη #metoo #metooGR #metoogreece,,,Greek Thinker,Twitter for iPhone,el,1357778983526555653
Marka149133376,2021-02-05T19:49:56Z,"Επειδή αρκετά καθεστωτικά ΜΜΕ έθαψαν τις καταγγελίες για τον επιχειρούμενο βιασμό γυναίκας δημοσιογράφου από τον #Χατζή,διαβάστε το νέο κείμενο που δημοσίευσε στο f/b ο δημοσιογράφος Αλέκος Μάρκελος
#MeToo https://t.co/pPVzxs9KLC",,,"Αγαπάω τη ζωή!Λατρεύω τους ανθρώπους ανεξαρτήτως φύλου,θρησκείας,ηλικίας και φυλής.Δεν θέλω σχέσεις με όσους δεν σέβονται την ελευθερία μου.",Twitter for iPad,el,1357778503958220801
theemeetreeos,2021-02-05T19:37:39Z,"Όσους έχουν καταγγείλει μέχρι στιγμής δεν τους συμπαθούσα ούτε τώρα ούτε πριν, τελικά όταν μέσα σου δεν έχεις Φως φαίνεται, το ένστικτο δεν ξεγελιέται με μούτες και ψεύτικα γέλια!
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #moutsis
 #Φιλιππίδης #eimasteoloimazi #χατζης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357775412663902215
silaserafim,2021-02-05T19:25:56Z,"Τελικα παιδια, δικιο ειχε ο #Κιμουλης που ειπε πως οι καταγγελιες ειναι μοδα. Αυτο που δεν ειπε, ειναι πως οι παρενοχλησεις κι η κακοποιηση ειναι παραδοση.
Εε τι να γινει, σπανε οι παραδοσεις με μια νεα μοδα.
#metooGR #metoo",,,"Standup Comedian. I was born. This is the fundamental key to success in life.
@ERTsocial",Twitter for Android,el,1357772464172990464
theemeetreeos,2021-02-05T19:22:35Z,"Η άλλη λέει: η Μουτίδου το κάνει για τις προβολές στο YouTube, εσύ ρε αγάπη γιατί γράφεις στο Twitter για την φουκαριάρα την μάνα σου; 
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357771622523023368
theemeetreeos,2021-02-05T19:15:37Z,"Καιρός για ξεκαθάρισμα σε όλα! 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357769867861127175
