screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
plessa_antonia,2021-02-05T19:40:31Z,Δακρυσμένη μιλάει η Τζένη Μπότση στις ειδήσεις στο ΣΚΑΙ. 14 γυναίκες καταγγέλουν  τον Σπυροπουλο για το ίδιο θέμα #Σπυροπουλος #metoogr,,,,Twitter for Android,el,1357776136747569152
v_mamchanda,2021-02-05T18:10:57Z,"Κορίτσια σας ευχαριστούμε πολύ, εμείς που μεγαλώνουμε κορίτσια #μπεκατώρου #Δούκα #παπαχαραλαμπους #μποτση #Δροσακη #Δανδουλάκη #Αναστασοπουλου",,,,Twitter Web App,el,1357753594552983554
miamari35628803,2021-02-05T16:08:11Z,"#Φιλιππιδης Μπουρδούμης,Μπότση και άλλοι ηθοποιοί πάντως αύριο στο στην υγειά μας για αφιέρωμα στον Μπέζο.Ας δεχτούμε ότι ο Μπέζος είναι safe προς το παρόν.",,,"όχι εγώ,μια φίλη μου",Twitter Web App,el,1357722701583036422
Xazoviolis1,2021-02-05T12:11:26Z,"Δώσαμε σαν κοινωνία δόξα, καταξίωση, επαγγελματική και οικονομική δύναμη σε ανθρώπους που δεν το άξιζαν. 
#Σπυρόπουλος #Φιλιππιδης #φιλλιπιδης #Κιμουλης 

Συγγνώμη σε όλα τα θύματα. Αλλά δεν γνωρίζαμε. #μποτση #ΖεταΔουκα #Αναστασοπουλου #παπαχαραλαμπους κλπ",,,"Ένας ακόμα χαζοβιολης, με πολλες ευαισθησίες και ψυχολογικά.",Twitter for Android,el,1357663118869073923
DIOGENISCHARALA,2021-02-05T11:47:09Z,Μπότση σε Κοσιώνη: “Με έβαλε να χορεύω και αυτοϊκανοποιούνταν – Ούρλιαζα και έκλαιγα” [βίντεο] https://t.co/79h9mLqYYk,,,.,WordPress.com,el,1357657008250494976
chrisadritseli,2021-02-05T09:11:18Z,"Ας καταλάβουμε επιτέλους πως ο Φιλιππίδης κι ο Σπυρόπουλος εκμεταλλεύτηκαν τις θέσεις τους και  έπαιξαν με τις ψυχές των θυμάτων. Όταν η Μπότση όλα αυτά τα χρόνια και τώρα μιλάει για το γεγονός, φαίνεται πως ζει με αυτό πάντα. Φοβισμένη και δυστυχισμένη. Ας πληρώσουν επιτέλους",,,Και πολύ να αγαπάς τους ανθρώπους,Twitter Web App,el,1357617786047070209
Argyrw24,2021-02-05T08:54:30Z,Και η #μποτση και η #λαμπρη παιδιά ήταν ρε #Σταροβας αλλά εκεί δεν σε πείραξε. #toprwino,,,🙏🇬🇷,Twitter Web App,el,1357613560558460930
PtsVasaki,2021-02-05T07:33:51Z,"Περνούσαμε καλά στα παρασκήνια, αλλά αυτό βγήκε προς τα έξω...

#Φιλιππίδης #Σπυρόπουλος #Κιμουλης #toprwino #MeToo #Αναστασοπουλου #παπαχαραλαμπους #μποτση #Ζετα_Δουκα",,,"Είμαι η ανεπίσημη του @Chris_toforos μην παιδεύεστε. 
Δε βάζω πια νερό στο κρασί μου 🍷
ΙΟΝ αμυγδάλου για πάντα 🍫",Twitter for Android,el,1357593264946360320
domesticus_pf,2021-02-05T06:02:58Z,"Οι τέχνες στην Ελλάδα είναι ότι το Κάμελοτ για τον βασιλιά Αρθούρο...
Είναι ο τρόπος ""έκφρασης"" αλλά και το καταφύγιο του ""ηθικού πλεονεκτήματος"" της Αριστεράς, που τελικά και εκεί αποδείχθηκε ότι ήταν βουτηγμένο στο ψέμα....
#Μουτιδου
#μποτση
#Ζετα_Δουκα
https://t.co/D0aWDNJrT0",,,"Κόκκινος ή μαύρος, ο φασισμός είναι ίδιος, το χρώμα του αλλάζει..
Το ακάου ασκεί κριτική στην κυβέρνηση όταν πρέπει, αλλά ξεκάθαρα στηρίζει Μητσοτάκη.

🇬🇷🇪🇺",Twitter for Android,el,1357570392597094403
ladosel,2021-02-05T04:13:59Z,"Αυτός που παρενοχλούσε σεξουαλικά, εκβίαζε, έκλεινε πόρτες στα θύματά του, τα έπαιρνε χοντρά από τις δουλίτσες του, θα πάρει και σύνταξη από το κράτος μία ωραία ημέρα? #φιλλιπιδης #παπαχαραλαμπους #Αναστασοπουλου #δροσακη #Δανδουλάκη #σεη #Φιλιππίδης #μποτση #χατζης #Μουτιδου",,,"Athens, Greece",Twitter for iPhone,el,1357542963736424448
migkitra,2021-02-04T23:28:11Z,"Απ' ότι φαίνεται η εισαγγελέας Βίρνα Δράκου δεν βγήκε ποτέ μέσα από τη ΚΥΡΙΑ  #Δανδουλάκη . Σεβασμός .
Μπράβο στις ΚΥΡΙΕΣ #Παπαχαραλάμπους #Αναστασοπούλου #Δροσάκη #Μπότση #Λάμπρη #Μιχαλά #Δούκα #Γερονικολού #ειμαστεολοιμαζί σας",,,"Επιτρέπεται να πέσεις, επιβάλλεται να σηκωθείς.
If you fall, get back up. That's what life is about.",Twitter Web App,el,1357471039618486273
radio4_GR,2021-02-04T23:04:45Z,Στράτος Τζώρτζογλου: “Είχα καταλάβει ότι η Τζένη Μπότση είχε θέμα…” - https://t.co/bnmSSUCPrr https://t.co/dUE2MChNhW,,,"Μουσική Χωρίς Διαφημίσεις - Non Stop Music - Καλλιτεχνικά νέα,  άρθρα, ειδήσεις για τη νεολαία- νέες κυκλοφορίες - Lifestyle - ενημέρωση χωρίς διαφημίσεις.",radio4newrss,el,1357465142527721475
Esc2018Gr,2021-02-04T21:48:42Z,"Ευχαριστώ τις κυριες Δούκα, Μπότση, Παπαχαραλαμπους, Δροσακη,Αναστασοπούλου, Δανδουλάκη, Μπεκατωρου και όλες τις επώνυμες και ανώνυμες Κυριες και όλους τους Κυρίους, εκ μέρους της 1μιση χρονων κόρης μου,για ένα καθαρό, δίκαιο, και λιγο περισσότερο ασφαλές μέλλον #Φιλιππίδης",,,,Twitter for iPhone,el,1357446003721437186
AerasNews,2021-02-04T20:51:10Z,Στράτος Τζώρτζογλου: “Είχα καταλάβει ότι η Τζένη Μπότση είχε θέμα…” https://t.co/UDe0NZ7AFL,,,,Twitter Web App,el,1357431528431697927
YupiiiGR,2021-02-04T20:21:43Z,"Έλλη Κοκκίνου | Το δημόσιο μήνυμά της για τις καταγγελίες της κουμπάρας της, Τζένης Μπότση https://t.co/oEo2BmuQeH",,,"Ό,τι σου αρέσει, είναι στο Yupiii",Echobox,el,1357424117104926720
DeteGrPatras,2021-02-04T20:09:07Z,"Στράτος Τζώρτζογλου: ""Είχα καταλάβει ότι η Τζένη Μπότση είχε θέμα…"" - https://t.co/kfn5Ghg25O https://t.co/5Vqf7auLeZ",,,https://t.co/vSBJa9uB,dete autopost,el,1357420945477099521
gynaikesmegoves,2021-02-04T19:30:08Z,Στράτος Τζώρτζογλου: “Είχα καταλάβει ότι η Τζένη Μπότση είχε ... https://t.co/sWGmKcOzwQ,,,Γυναίκα .... Ελληνίδα ...έχω φτιάξει και μια σελίδα στο facebook για αυτό που λατρεύω. Follow me και θα σε κάνω και εγώ...,panellas,el,1357411132848357378
apokalyptikodel,2021-02-04T18:48:22Z,"Στράτος Τζώρτζογλου: Είχα καταλάβει ότι κάτι είχε γίνει με τη Τζένη Μπότση [vid] 

https://t.co/G4e252erB3",,,,Twitter Web App,el,1357400623893925888
Dexi_Extrem,2021-02-04T17:58:56Z,📺Στράτος Τζώρτζογλου για Τζένη Μπότση: Είχα καταλάβει ότι κάτι είχε γίνει https://t.co/yIGbEADlJT,,,"Gauleiter της Μέρκελ στην Ελλάδα... αυτό, για να μη με ζαλιζετε με τα γερμανοτσολιας",Twitter Web App,el,1357388184708141064
mgVfVqSxCVHOAHv,2021-02-04T17:15:04Z,Ειδήσεις Βραδινό Δελτίο | Η Τζένη Μπότση στον ΣΚΑΪ | 01/02/2021 https://t.co/MzpTQnFgP3 via @YouTube,,,,Twitter Web App,el,1357377144482131968
trashTvLeme,2021-02-04T16:50:13Z,Ο κωστακης δεν γουστάρει πλέον την χωριάτισσα αλλά την ΘΕΑΡΑ Μπότση. #pameDanai,,,Οτι να ναι,Twitter for iPhone,el,1357370890028265474
DIOGENISCHARALA,2021-02-04T16:45:34Z,Στράτος Τζώρτζογλου για Τζένη Μπότση: Είχα καταλάβει ότι κάτι είχε γίνει https://t.co/x385VLDs0b,,,.,WordPress.com,el,1357369719553224706
GrPressing,2021-02-04T16:14:59Z,Σόδομα και Γόμορρα… αποκαλύπτει η Σοφία Μουτίδου για αστέρες θεάματος και τραγουδιού! Με πληρωμένες γυναίκες να παριστάνουν ως επάγγελμα πια … https://t.co/yqaf3WLClV #Sofia #Μουτιδου #Σπυροπουλος #φιλλιπιδης #Ζαπας #ζεταδουκα #Μπιμπιλας #μποτση #Κιμουλης #thursdaymorning #kai,,,ΜΜΕ,Twitter Web App,el,1357362022359445505
lemessou22,2021-02-04T15:58:59Z,"Σκέφτομαι νέες και νέους ηθοποιούς να δηλώνουν πόσο θαυμάζουν τους θιασαρχες τους κ να λένε, προφανώς με πόνο ψυχής, εκείνο το ""περνάμε ωραία στα παρασκήνια και αυτό βγαίνει προς τα έξω"" και ματώνει η ψυχή μου. Σε τι σάπια κοινωνία ζούμε... #μποτση #σερβου #ζεταδουκα #κακοποιηση",,,,Twitter for Android,el,1357357997727633414
xamemilo,2021-02-04T15:18:58Z,"Επειδη τα χω παρει κρανα.Εφοσον κανετε σχολιακια τυπου""τυχερος ο 13χρονος"",""εμεις δν ειχαμε τετοιες καθηγητριες"",οσοι εχετε τετοιες αντιληψεις,μην ξαναπιασετε στο στομα σας τη Μποτση κ τν καθε Μποτση κ,βασικα,μν μας λετε για βιασμους ανδρων #φιλιππιδη #Κιμούλης #Σπυροπουλος",,,Ken lee if living is without #AgriesMelisses and τρασοριαλιτιζ,Twitter for Android,el,1357347924615655424
Denniskathrin1,2021-02-04T11:10:39Z,Σοφία Μουτιδου 👏👏👏👏#eimasteoloimazi #metoo #φιλλιπιδης #χατζης #σπυροπουλος #Κιμουλης #Λιγνάδης #μιληστε #μποτση #Λαμπρη #Ζετα_Δουκα #pamedanai https://t.co/8xQd2NSn4E,,,,Twitter for Android,el,1357285437023338500
Denniskathrin1,2021-02-04T10:41:55Z,Aκου λοιπόν κορίτσι μου...!!! Απάντηση θύματος στην Βάνα που Βαβανιζεται. #χατζης #Λιγναδης #σπυροπουλος #Κιμουλης #φιλλιπιδης #Toprwino #pamedanai #Zeta #Λαμπρη #μποτση #eimasteoloimazi #metoo https://t.co/ppDNHNMlQ3,,,,Twitter for Android,el,1357278202700443649
