screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
savage_90_,2021-02-05T19:30:28Z,"Χεστηκαμε αν ο Φιλιππίδης έχει ψηλή πίεση, η πιεσουλα του μια χαρά ήταν όταν εκβίαζε κοπέλες να υποκυψουν στις άρρωστες ορέξεις του, όταν παρενοχλουσε ψυχολογικά και σωματικά αβοηθητες κοπέλες. Απέχθεια μόνο για τέτοια σκουπίδια.
#Φιλιππίδης #metooGR #Σπυροπουλος #Κιμουλης",,,🧠,Twitter for Android,el,1357773605283762180
llow_office,2021-02-05T19:26:17Z,#φιλιππιδη #Σπυροπουλος  #χατζης #Λιγνάδης Με τον γνωστο δημοσιογραφο  και το διευθυντικο στελεχος του Εθνικου τι γινεται  ???,,,,Twitter Web App,el,1357772553088073730
theemeetreeos,2021-02-05T19:22:35Z,"Η άλλη λέει: η Μουτίδου το κάνει για τις προβολές στο YouTube, εσύ ρε αγάπη γιατί γράφεις στο Twitter για την φουκαριάρα την μάνα σου; 
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357771622523023368
kleopatraP2,2021-02-05T19:17:44Z,"Και στην τελική ποιος σου δίνει το δικαίωμα να ασκείς οποιαδήποτε μορφή βίας σε έναν άνθρωπο. Κ-Α-Ν-Ε-Ν-Α-Σ!! Πώς θα σας φαινόταν αν ένας αγαπητός σας άνθρωπος βασανιζόταν με τον ίδιο τρόπο ""κύριοι"" #Φιλιππιδης #Σπυροπουλος #Κιμουλης  #λιγναδη ???",,,,Twitter Web App,el,1357770399921102852
theemeetreeos,2021-02-05T19:15:37Z,"Καιρός για ξεκαθάρισμα σε όλα! 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357769867861127175
i_zirou,2021-02-05T19:14:07Z,"Αυτή η ερμη οικογένεια του  #φιλιππιδη !!!! Πως να νιώθουν με αυτά τα τέρατα που έκανε ο γελοίος.... 😏😏😏😏😏 
#μμε_ξεφτιλες #Σπυροπουλος #κορωνοιος #Φιλιππιδης",,,reality junky 🤦🏻‍♀️🤩,Twitter for iPhone,el,1357769490998702080
Frouku,2021-02-05T19:14:05Z,"Οσοι ηθοποιοι βγαινουν σε πρωιναδικα/μεσημεριανα/δελτια ειδησεων και σχολιαζουν τις παρενοχλησεις των #Φιλιππιδης #Σπυροπουλος #Κιμουλης #λιγναδης κλπ
δεν εχουν πατησει ουτε κουνουπι?
&lt;αθωες περιστερες!&gt;
αντε γεια!😂😂 #toprwino #eutixeite #PameDanai #happyday #popupiliana",,,Frouki frouki,Twitter Web App,el,1357769484828889090
Elaedw3,2021-02-05T19:12:14Z,#Κιμουλης #Φιλιππιδης #Σπυροπουλος ποιον ΣΥΜΠΑΘΟΥΣΕΣ περισσότερο;,,,,Twitter Web App,el,1357769018996903946
theemeetreeos,2021-02-05T19:12:03Z,"Όποιος προσπαθεί να κατευνάσει το αίσθημα και την ίδια την δικαιοσύνη, να πάει από εκεί που ήρθε. 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #fasoulis #μουτσης #masterchefgr #survivorGR #starovas",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357768971462860805
theemeetreeos,2021-02-05T19:08:27Z,"Έρχεται και η ώρα του Προνόμιου στην Ελλάδα, αυτό φοβούνται οι προνομιούχοι γι’ αυτό μας λένε να κάτσουμε ήσυχα. Καλύτερα ειλικρινής παρά τέρας.
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357768063115026434
