screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
tsokaraki_,2021-08-21T23:00:38Z,#Λιγνάδης #Χαϊκάλης #Σπυρόπουλος #Φιλιππίδης #Κιμουλης #metooGR #MeToo https://t.co/VT3VH3B92v,,,Τσόκαρο is back!,Twitter for Android,,1429216903529119748
madam_shou,2021-08-20T20:08:54Z,"Άλλο έγκλημα ο #Λιγναδης και ο #Φιλίππου , άλλο ο #Φιλιππίδης, άλλο ο #Χαϊκάλης, άλλο ο #Σπυρόπουλος και άλλο ο #Κιμούλης. Όλα έχουν μεγάλη βαρύτητα, όλα θα πρέπει να τιμωρούνται αυστηρά αλλά είναι πολύ σημαντικό να μάθουμε να τα ξεχωρίζουμε. #metooGR",,,"Με την ελπίδα μιας στιγμής, μας χρέωσαν όλο το μέλλον.",Twitter Web App,el,1428811299950108674
CHpirocha,2021-08-20T19:11:11Z,Άντε τώρα που έφτιαξε θεατρική ομάδα στην φυλακή ο #Λιγναδης μαζί με #Φιλιππιδης....να πάνε και οι υπόλοιποι #χαικαλης #κιμουλης #φιλιππου και να φτιάξουν τον ΘΊΑΣΟ ΤΩΝ ΔΙΕΣΤΡΑΜΜΈΝΩΝ!!! #metooGR https://t.co/JcomRtmkVl,,,ΑΠΟΥΣΊΑ ΖΩ! Do follow and I will do it back!!!,Twitter for Android,el,1428796776333651972
KaragiozMperde,2021-08-05T11:03:29Z,"Ρε μλκες, σε αυτή τη χώρα έβγαζε λεφτά ο Φιλιππίδης ως ηθοποιός; Για τον Θεό ρε, ο Φιλιππίδης; Ο πιο ατάλαντος σαχλαμάρας που πέρασε ποτέ από την τηλεόραση; Πώς καταφέρατε να τον κάνετε ηθοποιό; Ο Κιμούλης τουλάχιστον είχε ταλέντο. Ο Φιλιππίδης ούτε για κομπάρσος δεν έκανε.",,,Θα πάρω Phd να σας το τρίψω στη μούρη.,Twitter for Android,el,1423238221186707458
Theodore_Makris,2021-08-04T09:57:44Z,"Πέτρος Φιλιππίδης: Αντέδρασε έντονα στο επισκεπτήριο όταν τόν ενημέρωσαν ότι έληξε ο χρόνος - Vavanta https://t.co/0r3pwrYiE4 

#Φιλιππιδης #kalokairiNot #metooGR #λιγναδης #MeToo #κιμουλης #Χαικαλης #vavanta",,,Θα Σε Σκίτσο Ρε!,Twitter Web App,el,1422859287722921986
WordsForReality,2021-08-03T11:02:43Z,Για χιλιοστή φορά να πούμε ότι ο Γ. Κιμούλης ΔΕΝ κατηγορήθηκε ποτέ΄για παρενόχληση αλλά για υβριστική και προσβλητική συμπεριφορά σε συναδέλφους του. Δεν θέλεις να το κάνεις παρέα αλλά ΔΕΝ ΕΙΝΑΙ και ποινικό αδίκημα.,,,"Member of the Union Of Greek Theater and Music Critics, journalist, radio broadcaster@ ERT - Hellenic Broadcasting Corporation & novelist. He-words, music, life",Twitter for Mac,el,1422513256095264768
spfuzzy,2021-08-02T18:15:02Z,Σπύρος Μπιμπίλας: «Μετά τον Φιλιππίδη ακολουθούν οι Χαϊκάλης και Κιμούλης» https://t.co/WFaFcvWA66,,,Αnyone can express his/her opinion by submitting it in our site,Twitter Web App,el,1422259661898719232
CHpirocha,2021-08-02T18:00:55Z,"Γιώργος Γιαννόπουλος – «Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση;»Αλλη μια δήλωση τού που δείχνει το πόσο ""σέβεται"" τις καταγγελίες που έγιναν!!#metooGR #φιλιππίδης #λιγναδης https://t.co/pGKeSBD5B2",,,ΑΠΟΥΣΊΑ ΖΩ! Do follow and I will do it back!!!,Twitter for Android,el,1422256109210021892
roufixtra,2021-08-02T14:40:01Z,Σπύρος Μπιμπίλας: «Μετά τον Φιλιππίδη ακολουθούν οι Χαϊκάλης και Κιμούλης» https://t.co/kztePl2sIU #Φιλιππιδης,,,"Όπως η ρουφήχτρα καταπίνει τα πάντα, έτσι και ο ιστότοπος μας ""ρουφάει"" τις καλύτερες ειδήσεις από το ελληνικό διαδίκτυο!",Roufixtra,el,1422205551962959876
HarisLebidakis,2021-08-02T03:54:48Z,Γιώργος Γιαννόπουλος: «Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση;» | NewsPistol - Ειδήσεις με υπογραφή. Χάρης Λεμπιδάκης. https://t.co/znI0ZGMsId,,,,Twitter for iPhone,el,1422043176613908482
