screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
melen_melia,2021-08-23T20:00:41Z,"Ο Μοθωναιος στον #hlios ήρθε για να ερευνήσει τον θάνατο του γιου της Αλεξάνδρας (Αλμπάνης). 
Ο Κύπραιος του 2021. Άμα παίξει Φασούλα τυπου Μυρσίνη Κύπραιος από τις #agriesmelisses να ζήτησει η Τσαμπανη δικαίωματα 😂",,,"Δοξα στο Σεβαστεικο. 
 Queen Μυρσινη 👑 
wild bees and wannabees🐝🐝
Θα καταστρεψω τους καλούς και τους ηλίθιους 😌",Twitter for Android,el,1429896394970697729
dtigiri,2021-07-29T12:23:49Z,Δημήτρης Μοθωναίος: τα πρώτα πλάνα του από τα γυρίσματα για τον νέο κύκλο του Ήλιου (φωτογραφίες) https://t.co/eL5wBQNqOk,,,"Ρεπορτάζ,lifestyle,showbiz,θέατρο κ.α.",Twitter for iPhone,el,1420721722416840706
dtigiri,2021-07-29T12:23:36Z,Δημήτρης Μοθωναίος: τα πρώτα πλάνα του από τα γυρίσματα για τον νέο κύκλο του Ήλιου (φωτογραφίες) https://t.co/zJ9r8DwMKK,,,"Ρεπορτάζ,lifestyle,showbiz,θέατρο κ.α.",Twitter for iPhone,el,1420721668184547337
monopoligr,2021-07-29T11:00:01Z,Ήλιος: Ο Δημήτρης Μοθωναίος μπαίνει στον Β’ κύκλο της σειράς του ANT1 - https://t.co/BvvM0SumbH https://t.co/2KZ7CshwWt,,,"Culture, Fun & Entertainment Guide",Twitter Web App,el,1420700633783410688
Mary_Papas_2,2021-07-29T09:27:00Z,Ανακοινώθηκε ότι ο Μοθωναιος παει στον Ήλιο αρα δεν θα είναι στις #AgriesMelisses,,,Η Ζωή από το Τζάμι Περνά'' εκδόσεις Λέμβος https://t.co/98YKNsEUdn Co founder of @ssffs_project with @deina_furth,Twitter for Android,el,1420677228782882818
SevastouStamiri,2021-07-28T23:01:18Z,Μισό λεπτό γιατί έχω μείνει λίγο πίσω. Ο Μοθωναίος δεν θα είναι στις #AgriesMelisses είναι στον #Hlios ? Ας μου εξηγήσει κάποιος υπεύθυνα παρακαλώ (🤣),,,Η αισθητική είναι ηθική ~ ΚΔ,Twitter for Android,el,1420519762464067587
inewsgr,2021-07-28T22:10:02Z,Ήλιος: Ο Δημήτρης Μοθωναίος μπαίνει στον Β’ κύκλο της σειράς -Φωτογραφίες! https://t.co/OPLTqsl2Ya,,,Ειδήσεις Σήμερα κα Τελευταία Νέα. Όλες οι ειδήσεις σε ένα site. #1 Ειδησειογραφικό Site.,iNewsgr,el,1420506861124689925
serfare,2021-07-28T17:54:33Z,Ήλιος β κύκλος: Ο Δημήτρης Μοθωναίος ως Στέφανος https://t.co/J71t7U8mln #ΕπόμεναΕπεισόδια,,,Ελληνικές Τηλεοπτικές σειρές - Επεισόδια - Επόμενα επεισόδια - Παράξενα -  Αστεία - Gossip and more...,dlvr.it,el,1420442568819544070
Rythmos893,2021-07-28T17:03:40Z,Ο Δημήτρης Μοθωναίος στον “Ήλιο” – Αυτός είναι ο ρόλος που θα υποδυθεί https://t.co/pqin3pOre3 https://t.co/lIyZIdiOqq,,,Το Νούμερο 1 Ραδιόφωνο για τις επιτυχίες για την ΒΔ Ελλάδα. Σε συνεργασία με τον Ρυθμό 949,IFTTT,el,1420429763605319681
mikrofwnoportal,2021-07-28T15:35:07Z,"Ο Δημήτρης Μοθωναίος στη σειρά του @ANT1TV , «Ήλιος» #TV #tvseries #mikrofwnoGR https://t.co/XuACt1zsAE μέσω @mikrofwnogr",,,,Twitter Web App,el,1420407479440117761
FTHISGR,2021-07-28T14:48:48Z,Ο Δημήτρης Μοθωναίος στον 'Ήλιο' - Αυτός είναι ο ρόλος που θα υποδυθεί #Hlios  https://t.co/NjsweSCLR5,,,"Follow this... Για να είσαι πάντα μπροστά!
➡️ Κατέβασε δωρεάν την εφαρμογή του FTHIS από το Google Play ή το App Store για να είσαι πάντα ενημερωμένος!",Twitter Web App,el,1420395823888744453
AntennaNews,2021-07-28T14:08:47Z,"“Ήλιος”: Ο Δημήτρης Μοθωναίος στη σειρά του ΑΝΤ1 σε ρόλο έκπληξη (εικόνες)
https://t.co/Nn2COPEWpk #Ant1news #Hlios #Μοθωναιος @ANT1TV https://t.co/j92jkGRen9",,,Το ειδησεογραφικό site του Ομίλου ΑΝΤ1.,Twitter Web App,el,1420385752425377793
ANT1comcy,2021-07-28T13:54:52Z,"Ο Δημήτρης Μοθωναίος στον Β' κύκλο του «Ήλιου» (ΦΩΤΟΣ)
https://t.co/qNgnlrhqX4 https://t.co/5ai685zYcY",,,The official Twitter account of https://t.co/WWyFjOnNqj,Twitter Web App,el,1420382248575160325
