screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
7H2GriuN62LJSNV,2021-08-25T09:44:43Z,"Κώστα, πάρτο χαμπάρι, έχετε τελειώσει. Δοκιμαστήκατε και αποδειχτήκατε ανίκανοι, ένα τσούρμο ανεπάγγελτων ιδεοληπτικών. Με ψέματα πήρατε 36%, μετά τις εκλογές στο κιναλ θα είστε κάτω από το 20%. Δε θα γίνεις ποτέ υπουργός, κρίμα να σε προλάβει ο Μπάρκας, ο Χαϊκάλης κι ο Κουίκ... https://t.co/W565kPyDB0",,,"Έλληνας, Δεξιός, Φιλελεύθερος, αντι-ΣΥΡΙΖΑ, αντι-ψεκ",Twitter for Android,el,1430466157287514115
nikolopoulosn1,2021-08-22T11:05:06Z,SPORTAXAIA: Στα «πορτοκαλί» ο Χαϊκάλης: https://t.co/1XcHAi1x9v,,,,Twitter for Android,el,1429399225134166023
hgalariotis,2021-08-22T09:55:34Z,Στα «πορτοκαλί» ο Χαϊκάλης - https://t.co/zfidBPOB23στα-πορτοκαλί-ο-χαϊκάλης/,,,Δημοσιογράφος,Twitter Web App,el,1429381725621215233
tsokaraki_,2021-08-21T23:00:38Z,#Λιγνάδης #Χαϊκάλης #Σπυρόπουλος #Φιλιππίδης #Κιμουλης #metooGR #MeToo https://t.co/VT3VH3B92v,,,Τσόκαρο is back!,Twitter for Android,,1429216903529119748
madam_shou,2021-08-20T20:08:54Z,"Άλλο έγκλημα ο #Λιγναδης και ο #Φιλίππου , άλλο ο #Φιλιππίδης, άλλο ο #Χαϊκάλης, άλλο ο #Σπυρόπουλος και άλλο ο #Κιμούλης. Όλα έχουν μεγάλη βαρύτητα, όλα θα πρέπει να τιμωρούνται αυστηρά αλλά είναι πολύ σημαντικό να μάθουμε να τα ξεχωρίζουμε. #metooGR",,,"Με την ελπίδα μιας στιγμής, μας χρέωσαν όλο το μέλλον.",Twitter Web App,el,1428811299950108674
CHpirocha,2021-08-20T19:11:11Z,Άντε τώρα που έφτιαξε θεατρική ομάδα στην φυλακή ο #Λιγναδης μαζί με #Φιλιππιδης....να πάνε και οι υπόλοιποι #χαικαλης #κιμουλης #φιλιππου και να φτιάξουν τον ΘΊΑΣΟ ΤΩΝ ΔΙΕΣΤΡΑΜΜΈΝΩΝ!!! #metooGR https://t.co/JcomRtmkVl,,,ΑΠΟΥΣΊΑ ΖΩ! Do follow and I will do it back!!!,Twitter for Android,el,1428796776333651972
giorgosvr1,2021-08-14T10:53:52Z,Ο #Χάρηςρωμας Τον εκανε πλούσιο και διάσημο το Κ&amp;Ε και θα το αξιοπισει Γιατι τον φωνάζουν Δήμαρχο #Νανσυ και #Θανασης κατι σαν το 50_50 Χαικαλης Δηλαδή #Μητσοτακη_ξερεις_εσυ Κάνε τα δέοντα,,,"Greece mercantile marine
Το να είσαι Έλληνας δεν είναι ζήτημα καταγωγής, αλλά θέμα αγωγής.
El.Venizelos",Twitter for Android,el,1426497294841569286
sotiriapapadop8,2021-08-05T15:12:07Z,Μετά τον Φιλιππίδη: Οι 3 γνωστοί ηθοποιοί που βρίσκονται στο στόχαστρο Δεν καταλαβαίνω όμως γιατί και ο Παύλος Χαϊκάλης αν είναι στο στόχαστρο ο Παύλος πρέπει να είναι 85 τοις 100 των ελλήνων ανδρών στην φυλακή,,,,Twitter for iPhone,el,1423300792153518084
Theodore_Makris,2021-08-04T09:57:44Z,"Πέτρος Φιλιππίδης: Αντέδρασε έντονα στο επισκεπτήριο όταν τόν ενημέρωσαν ότι έληξε ο χρόνος - Vavanta https://t.co/0r3pwrYiE4 

#Φιλιππιδης #kalokairiNot #metooGR #λιγναδης #MeToo #κιμουλης #Χαικαλης #vavanta",,,Θα Σε Σκίτσο Ρε!,Twitter Web App,el,1422859287722921986
isyriza,2021-08-03T12:31:54Z,Μόνο ο δικός σου ο Παύλος ο Χαϊκάλης θα μπορούσε να εφαρμόσει ρηξικέλευθες πολιτικές σ’αυτό τον τομέα Αλέξη https://t.co/ZiiZDZwa4B,,,I use humor as an offense mechanism,Twitter for iPhone,el,1422535699602055171
