screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
tlifegr,2021-08-25T09:09:57Z,"Κοινωνία Ώρα Mega: Αυτό είναι το τρέιλερ της Ανθής Βούλγαρη και του Ιορδάνη Χασακόπουλου που… δεν έπαιξε ποτέ
https://t.co/PD4riafMQh",,,The female side of life,Twitter Web App,el,1430457409118556162
SporadesTv,2021-08-25T08:01:53Z,Αυτό είναι το τρέιλερ της Ανθής Βούλγαρη και του Ιορδάνη Χασακόπουλου που… δεν έπαιξε ποτέ https://t.co/YVqtplpWuV,,,Η ενημέρωση απο τις Βόρειες Σποράδες,WordPress.com,el,1430440279669096450
showbizgr,2021-08-24T23:17:57Z,"Το λευκό μαγιό της Ανθής Σαλαγκούδη που μαγνητίζει τα βλέμματα #gossip #hot #instagood #instamood #news #showbiz #showbiz.gr #επικαιρότητα #Entertaiment #Lifestyle ...
https://t.co/eS6mjq9lpK",,,Showbiz.gr |  Περιοδικό ποικίλης ύλης https://t.co/I9ukjDFiIC,FS Poster,el,1430308426664534027
DrLombre,2021-08-13T15:23:21Z,Αγώνας μέχρι τέλους για το μωρό της Ανθής #oikogeneiakesistories,,,Δεν αντέχω άλλο τον πλανήτη σας...πρόκειται για πλανήτη ηλιθίων!!,Twitter for iPhone,el,1426202725449146370
Belladova,2021-08-09T20:17:20Z,"Επ. 30 (15/2/21): Επαναλαμβάνω, τί εκνευριστική η φωνή της Ανθής #survivorGR",,,"Rob ~ Kristen ~ Twilight  ~  SPN ~ TVD ~ F1
Fan account. Obviously.",Twitter Web App,el,1424827156216090629
Megaleio_Texnwn,2021-08-08T16:08:20Z,"""Αποχρώσεις του μπλε"" της Ανθής Πάνου - Μόλις κυκλοφόρησε από τις εκδόσεις Ελκυστής
https://t.co/rXN8cTGKl6 https://t.co/e3OOB6M5KE",,,,Twitter Web App,el,1424402106589536260
agongr,2021-08-04T09:36:04Z,Στο πλευρό της Ανθής Λιάγκου και του συλλόγου «Πύρρος ΑμεΑ» https://t.co/Fo9hr8ehdh https://t.co/XKCojRnwrr,,,Τα Γιάννενα στην πρώτη σελίδα,dlvr.it,el,1422853835429531649
biskotopitourou,2021-08-01T06:06:01Z,Ο Δημήτρης Άνθης τι επαθε ξαφνικα και ξεβρακωνεται στο ινστα;,,,Σας θέλω όλους,Twitter for Android,el,1421713813049593860
Thematofilakes,2021-07-31T06:35:05Z,Πρόσφατα κυκλοφόρησε το παιδικό βιβλίο της κυρίας Νικολέττας-Ανθής Βέλλη με τίτλο «Η βιβλιοθήκη που μιλάει» από τις Εκδόσεις Οσελότος σε εικονογράφηση του Αριστείδη Καραβία. Γράφει η Ασημίνα Στασινοπούλου. https://t.co/FRXOXgx2Z7,,,Λογοτεχνικό Διαδικτυακό Site,WordPress.com,el,1421358739785928709
Sia_MM2,2021-07-30T13:09:55Z,Εντωμεταξύ να θυμίσω καπου εδω και την υπόθεση της Ανθής στο Βελβεντό Κοζάνης που είχε το ίδιο μοτίβο με τα #Γλυκα_Νερα ! Ο άντρας της την ειχε θάψει στο χωράφι του και την αναζητούσε στο #fosstotounel #γυναικοκτονια ! Ηθελα μερες να το αναφέρω !,,,"Όταν η ζωή σου δώσει λεμόνια, φτιάξε τις πιο γαμάτες μαργαρίτες κι απόλαυσε τη διαδρομή ! Όπου γάμος και χαρά, θα με βρείτε πρώτη ! 🙏🏼😉",Twitter for iPhone,el,1421095713904238599
