screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
sportbetgr,2021-08-25T04:13:44Z,"🔥 Σπυρόπουλος: Παίζει και για μία αξιοπρέπεια η Άρσεναλ…👇🏼
https://t.co/9HbdPeWR1B
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1430382864294629378
tsokaraki_,2021-08-21T23:00:38Z,#Λιγνάδης #Χαϊκάλης #Σπυρόπουλος #Φιλιππίδης #Κιμουλης #metooGR #MeToo https://t.co/VT3VH3B92v,,,Τσόκαρο is back!,Twitter for Android,,1429216903529119748
andonis4,2021-08-21T16:59:41Z,Ο Σπυρόπουλος μας είπε ανισόρροπους. #ΠΑΟΚ,,,"Jack of all trades, master of none.",Twitter for Android,el,1429126067772694532
sportbetgr,2021-08-21T04:09:59Z,"🔥 Σπυρόπουλος: Με στόχους φέτος η Ντιναμό👇🏼
https://t.co/9wZkKXtl1Z
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1428932367159341057
madam_shou,2021-08-20T20:08:54Z,"Άλλο έγκλημα ο #Λιγναδης και ο #Φιλίππου , άλλο ο #Φιλιππίδης, άλλο ο #Χαϊκάλης, άλλο ο #Σπυρόπουλος και άλλο ο #Κιμούλης. Όλα έχουν μεγάλη βαρύτητα, όλα θα πρέπει να τιμωρούνται αυστηρά αλλά είναι πολύ σημαντικό να μάθουμε να τα ξεχωρίζουμε. #metooGR",,,"Με την ελπίδα μιας στιγμής, μας χρέωσαν όλο το μέλλον.",Twitter Web App,el,1428811299950108674
sportbetgr,2021-08-20T04:20:11Z,"🔥 Σπυρόπουλος: Συνεχίζει τη… διόρθωση η Κορκ Σίτι👇🏼
https://t.co/zXsRMMqLG4
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1428572546933288965
DelaportasTim,2021-08-19T19:53:33Z,"αχαχαχαχαχααχ ο Σπυροπουλος κανει σαν να πηρε η ομαδα το τσαμπιονς λιγκ. 

mute  #PAOKHNKR",,,"Patriot
Conservative 
Against Globalism
Against Political correctness 

Make Greece Great Again 🇬🇷 🇺🇸",Twitter Web App,el,1428445047469531140
dentinpaleuo,2021-08-19T19:52:05Z,"Γύρισα να δω το ματς της Τούμπας, μπαζερ μπιτερ ο ΠΑΟΚ λέει ο Σπυρόπουλος. Που με κατάλαβε;",,,"Founding member of the Buzzer Bitter Social Media Ltd, Spirtoulis and Opinion Leader according to sources",Twitter for Android,el,1428444679138381827
Enithom1,2021-08-19T19:27:43Z,Σφυροκόπημα λέει τις γιομες ο Σπυρόπουλος 😆#PAOKHNKR,,,,Twitter for Android,el,1428438548894699522
GGiannoulas,2021-08-19T18:39:21Z,"Αυτός ο Λεπινίτσα που έβαλε το γκολ της Ριέκα, έτσι όπως τον προφέρει ο Αλέξης Σπυρόπουλος νομίζεις ότι είναι από την Πάτρα. #ΠΑΟΚ #PAOKHNKR #opentv",,,,Twitter Web App,el,1428426376365871106
panadalian,2021-08-19T18:39:13Z,"Πρέπει να είχε πάει διακοπές στο χωριό του για κάνα μήνα ο Σπυρόπουλος, δεν εξηγείται αλλιώς αυτή η προφορά η καταυλακιώτικη στον σκόρερ Λεπιννίτσα
#PAOKHNKR
#paokfc
#OlympiacosFC",,,Όλες οι ώρες είναι ίδιες...,Twitter for Android,el,1428426341347741705
SaulGoo41821211,2021-08-19T18:36:58Z,"Εντωμεταξύ ο Σπυρόπουλος από το μεγάλο σοκ είπε 10 φορές ""Ιβαν Λεπιτινίτσα""... 😂#PAOKHNKR",,,"Πληρωμένο Ακκάου 0,60€/τουί, Επιστήμονας του Σαλιαρέλη με LLB, LLM και PhD αγορασμένα από το Κολάμπια, Ημιπιτσιρικάς, It's all good man",Twitter for Android,el,1428425774093193221
herogrig,2021-08-19T18:34:34Z,Ο Σπυρόπουλος μιλάει ΚΑΙ κροατικα και τα λέει τα ονόματα με προφορα; #paokrjk,,,"Moans about life, universe and everything in between (politics, sports, tv). Might all be Greek to you. Frequently quoting Pratchett.",Twitter for Android,el,1428425171514363908
GiorgosPap_96,2021-08-19T18:14:20Z,"Σπυρόπουλος: ""πτώση του Βιεϊρίνια, αρκετά εύκολη..""

Αντίστοιχος σχολιασμός από τους σπίκερ του μέγκα για τον Ολυμπιακό θα ήταν: ""πτώση εδω, θα μπορούσε να καταλογήσει και την παράβαση..""

#PAOKHNKR",,,"Student of philology, AUTh 📖 Dog lover 🐕
⚪⚪ 1926 ⚫⚫ 🦅",Twitter Web App,el,1428420078555570183
johnyT1971,2021-08-19T18:00:12Z,Αλέξης Σπυρόπουλος: ...μόνο τρεις παίκτες κάτω απ τα 30.... οκ... #PAOKHNKR,,,"Συντηρητικός Φιλελεύθερος, εραστής της ελευθερίας του ατόμου, της οικονομίας και της γνώμης. Αθεράπευτα δημοκρατικός και ευρωπαϊστής, ακριβοδίκαιος και ΠΑΟΚ",Twitter for Android,el,1428416523417313285
omegatvcy,2021-08-19T07:06:39Z,"Ο Δικέφαλος, μετά τη σπουδαία πρόκριση επί της Μποέμιανς καλείται να περάσει το εμπόδιο και των Κροατών, που απέκλεισαν τη Χιμπέρνιαν. ΠΑΟΚ-Ριέκα, περιγράφει ο Αλέξης Σπυρόπουλος, απευθείας από την Τούμπα, την Πέμπτη στις 21:00 αποκλειστικά και ζωντανά στο OMEGA! https://t.co/dW7Anpp6rz",,,Official twitter account,Twitter for Android,el,1428252052392538118
eVjxbdQULFMAxl8,2021-08-18T19:27:25Z,"""Γιατί επαψες αγάπη να θυμίζεις"" άραγε;...αδιάφορο πια..
Ρεσιταλ ηλεκτρικής κιθάρας από τον Σπυρόπουλος.
Θα δανειστώ για καληνύχτα τα λόγια του τραγουδοποιου..

""Να έχετε ότι αγαπάτε κ να αγαπάτε ότι έχετε"" φίλοι μου. Καλό ξημέρωμα 🎼😘🎸🎸💖🥁💞🎶

https://t.co/kxntCjFk1F",,,".. Να αρνιεσαι ότι θωρουν τα μάτια σου..
Να πεθαίνεις κ να λες, θάνατος δεν υπάρχει.... Ν. Καζαντζάκης",Twitter for Android,el,1428076083019190283
El__Canibal,2021-08-18T09:22:05Z,"Αύριο στην μετάδοση θα είναι ο Σπυροπουλος αλλά ας είναι stand by και ο Κολκας αν στραβώσει το παιχνίδι , να βγει να κράζει τους παίχτες μας στον αέρα. #PAOK",,,"«Δε θα πω πολλά.Εάν είστε κατά των επενδύσεων,τότε να στραφείτε στον Μάρξ,όχι σε μας.Μας καλέσατε να μιλήσουμε για επενδύσεις.Ας μη μας καλούσατε».Ιβαν Σαββιδης",Twitter for iPhone,el,1427923745524654087
omegatvcy,2021-08-18T08:32:05Z,"Ο Δικέφαλος, μετά τη σπουδαία πρόκριση επί της Μποέμιανς καλείται να περάσει το εμπόδιο και των Κροατών, που απέκλεισαν τη Χιμπέρνιαν. ΠΑΟΚ-Ριέκα, περιγράφει ο Αλέξης Σπυρόπουλος, απευθείας από την Τούμπα, την Πέμπτη στις 21:00 αποκλειστικά και ζωντανά στο OMEGA! https://t.co/0capZh3tv8",,,Official twitter account,Twitter for Android,el,1427911162281267202
DeteGrPatras,2021-08-18T08:30:02Z,"O Πατρινός αυτοδίδακτος γλυπτής Παναγιώτης Σπυρόπουλος μας αποκαλύπτει την τέχνη του και τα σχέδια του - ""Η δημιουργία  είναι μυστήριο"" - https://t.co/RYLFRCiWmI https://t.co/ank9zPPNzx",,,https://t.co/vSBJa9uB,dete autopost,el,1427910647866662915
sportbetgr,2021-08-18T04:18:27Z,"🔥 Σπυρόπουλος: Ρεφάρισμα με 3η Πολωνίας!👇🏼
https://t.co/dNCxgmxie0
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1427847333274861569
sportbetgr,2021-08-17T04:08:58Z,"🔥 Σπυρόπουλος: Η άμυνα της Ρόζενχαϊμ, δίνει νίκη στην Άιχστετ!👇🏼
https://t.co/xgRbfODhBX
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1427482560150528001
AthosdelaFere3,2021-08-15T12:05:21Z,"Λογικά τσακωθηκαν επειδή ο κοντός είχε ολόκληρη υπουργό να σκεπάζει τις ανωμαλίες του, ενώ ο φουκαράς ο Πέτρος αναγκαζοταν να βιάζει τα κορίτσια ολομόναχος.
#Φιλιππίδης #Λιγναδης #Μενδωνη #Μενδωνη_παραιτησου #ΚΟΥΓΙΑΣ #Λιγναδης_παιδεραστης  #σοφιαμπεκατωρου #σπυροπουλος https://t.co/qAktbBlOqz",,,,Twitter for Android,el,1426877671527620618
sportbetgr,2021-08-14T04:12:32Z,"🔥 Σπυρόπουλος: Τα χρέη της Ντενίζλισπορ φέρνουν… ήττα!👇🏼
https://t.co/0QDQeeYdKe
#sportbet #prognostika #stoixima",,,Προγνωστικά για το στοίχημα. https://t.co/MwLkrgQFTo,Zapier.com,el,1426396296735232000
SDXZV,2021-08-12T20:34:24Z,"Χαμηλά τη μπάλα.... 
Ο Αλέξης Σπυροπούλος με 2 κουβέντες είπε όλη τη σημασία του αγώνα #PAOKBOH 

1) Όσο κοστίζει ο Ροδρίγο Σοάρες... ΚΑΝΕΙ ΟΛΗ Η ΟΜΑΔΑ ΤΗΣ ΜΠΟΕΜΙΑΝΣ  ! 
2) Δεν νοείται για τον ΠΑΟΚ να μην είναι Φλεβάρη στην Ευρώπη.. 

#ΠΑΟΚ #PAOK #PAOKinvincible",,,"L3ONⲀRDΘdⲁVINCI☯️
RΘSSLYN⚜️
SIENA SPdV3NC3 IS7ΔNBUL DUBΔI⭐
RUNGRⲀDΘ1stMΔY🇰🇵
SΔD3VΔNⲌ3LΘ🎨
SDXⲌV🖌️ 
7RΔV3L3D-32 CΘUN7RI3S🤟
SKG -Z3ΔLΘ7 DÖMN3 F3D3RΔ7IΘN",Twitter for Android,el,1425918614805360644
