screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
Evil_Queen35,2021-02-05T20:23:03Z,#χατζης #Φιλιππιδης #μουτσης #Κιμουλης #Σπυροπουλος #ζαππας #Λιγναδης Ξεχασα κανέναν? ΑΝΑΦΕΡΕΤΕ ΤΟΥΣ ΡΕ!!! ΞΕΜΠΡΟΣΤΙΑΣΤΕ ΤΟΥΣ ΞΕΦΤΙΛΕΣ!,,,το πιο υπεροχο πραγμα στη ζωη ειναι να αγαπας και να αγαπιεσαι απο καποιον!!!!,Twitter for Android,el,1357786837646008323
zmounamas,2021-02-05T20:21:33Z,"Εξοργιστικο. Απορω μ αυτες που τον ανεχονταν . Θα του ειχα γαμησει το μν που τον πεταγε κι ας πηγαινα μετα να πλυνω σκαλες για να επιβιωσω. Σιχαμα στα διαλα
#Φιλιππιδης 
#Σπυροπουλος 
#χατζης 
#Μούτσης https://t.co/MocEUsxiV5",,,Βαριέμαι να εξηγώ .,Twitter for Android,el,1357786461458808833
xeftila20,2021-02-05T20:18:09Z,"Τρέμεις σαν παιδί μήπως σε ανακαλύψουν
Βάζεις τη στολή να μη σε αγγίξουνε τα πως και τα γιατί....
Άνθρωπος και εγώ και απόψε θα φωνάξω
άνθρωπος και εγώ, βαρέθηκα, θα αλλάξω
#metooGR #metoo #φιλλιπιδης #φιλιππιδη #Σπυροπουλος #Κιμουλης  #Λιγναδης #χατζης @EvridikiTheo https://t.co/qmoUnL5I8y",,,,Twitter for iPad,el,1357785607263707138
oQ2vcvNFTALaRVy,2021-02-05T20:06:06Z,Κώστας Χατζής - Η Γη ακόμα ζει | Official Audio Release https://t.co/UBaBPUUflj μέσω @YouTube,,,,Twitter Web App,,1357782573204836357
ZioSot,2021-02-05T20:05:41Z,Κανενα νέο ; #Χατζης,,,"Αντιο λένε στις ταινίες , εμεις λέμε άντε ρε και γαμήσου .",Twitter for Android,el,1357782467474825217
ZioSot,2021-02-05T20:04:25Z,Το μεγαλύτερο κουκούλωμα #χατζης,,,"Αντιο λένε στις ταινίες , εμεις λέμε άντε ρε και γαμήσου .",Twitter for Android,el,1357782147923378182
PolitouPeggy,2021-02-05T20:02:18Z,"Περιμένουμε με αγωνία το νεότερο ανακοινωθέν για την περιπτωσαρα του.
#Φιλιππιδης #Σπυροπουλος #Λιγνάδης #χατζης #Κιμουλης https://t.co/Bef0Gm3OiX",,,"ενεργειακες θεραπείες
στιχουργος",Twitter for Android,el,1357781618467995653
i_zirou,2021-02-05T20:01:50Z,"Και δηλαδή συγνώμη....εμείς. Σ κοινό τόσα χρόνια....ποσο ηλίθιοι να νιώσουμε που είχαμε ψηλά τέτοιους ανώμαλους και αρρώστους ανθρώπους δίνοντας τους βήμα και πιστεύοντας ότι μας σερβίρουν οι #μμε_ξεφτιλες ????  
#φιλιππιδη #Φιλιππίδης #Φιλιππιδης #Σπυροπουλος #χατζης #Κιμουλης",,,reality junky 🤦🏻‍♀️🤩,Twitter for iPhone,el,1357781497558802441
swrraiomoutro,2021-02-05T20:00:29Z,#χατζης #λιγναδης θα τους καλύψετε αυτούς ;;;,,,,Twitter for iPhone,el,1357781159766286338
apasokikos,2021-02-05T20:00:18Z,"Αυτό κι αν είναι ντέρμπι 👇👇👇
Ψηφιστε

#olypao #metoo #AgriesMelisses #SuperMakeOverGR #radioarvyla #φιλλιπιδης #χατζης #Λιγναδης #Κιμούλης #Σπυρόπουλος #μουτσης #Φιλιππιδης #radioarvyla #aggeliki #Exapsi https://t.co/oJpt6CEtIN",,,"Προοδευτικός και πατριώτης. Το πρωί πολιτική, το βράδυ ριαλιτι. 😎",Twitter for Android,el,1357781114568511489
lenitataz,2021-02-05T19:55:57Z,"https://t.co/tE0G6f0iny  Τώρα με Ιωάννιδη Παγωνη κλπ
#AgriesMelisses #χατζης #χαρδαλιας #lockdown #COVID #εμβολιασμος #ΝΔ_Χουντα #Μητσοτακη_καθαρμα",,,,Twitter for Android,el,1357780017439256579
Argyrw24,2021-02-05T19:54:04Z,Καταλάβατε τώρα γιατί έλεγε ο Μπιμπιλας να πηγαίνουν για καταγγελίες μόνο σε αυτόν και να μην βγαίνουν στα κανάλια; Φασκελοκουκουλωστα 🤑 #Φιλιππιδης #φιλιππιδη #Κιμουλης #Σπυροπουλος #χατζης #Μουτση https://t.co/ijjay6gfbE,,,🙏🇬🇷,Twitter Web App,el,1357779543336103940
trebotroll,2021-02-05T19:53:03Z,"Άρχισαν τα πούστικα τα ΑΡΔακια. Θα δώσουν τον γέρο για να τη γλιτώσουν οι νεότεροι.

Αλήθεια με τον #Χατζή τι έγινε?
Καταφέρατε να ψέλλισε τε το όνομά του.
#χατζης #metooGR #metoo
#Φιλιππιδης https://t.co/QZWrwRErdX",,,🎧,Twitter for Android,el,1357779287173120000
MaxlasIrini,2021-02-05T19:52:59Z,"Τίμιος ο Marilyn Manson!Σου λέει..θα ντύνομαι σαν ""ουστ κακό χρόνο να έχεις, με έκανες και σκιάχτηκα ανομαλάρα"" και θα το περάσω σαν το alter ego μου.Να μην μου ζητάνε και τα ρέστα... Μάθετε μπαλίτσα από το τον άρχοντα του σκότους #Φιλιππιδης #Σπυροπουλος #χατζης #Κιμουλης",,,,Twitter for Android,el,1357779273872998406
Esc2018Gr,2021-02-05T19:40:01Z,"Αυτό που δεν καταλαβαίνει ο ηθοποιός, ο τραγουδιστής , ο δημοσιογράφος, ο πολιτικός, είναι ότι εμείς είμαστε οι «εργοδότες», εμείς πληρώνουμε , εμείς «προσλαμβάνουμε» και εμείς «απολύουμε»... εμείς οι ανώνυμοι, οι απλοί, ο λαός! #metooGR #χατζης #Φιλιππιδης #κιμουλης #λιγναδης",,,,Twitter for iPhone,el,1357776007487496193
theemeetreeos,2021-02-05T19:37:39Z,"Όσους έχουν καταγγείλει μέχρι στιγμής δεν τους συμπαθούσα ούτε τώρα ούτε πριν, τελικά όταν μέσα σου δεν έχεις Φως φαίνεται, το ένστικτο δεν ξεγελιέται με μούτες και ψεύτικα γέλια!
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #moutsis
 #Φιλιππίδης #eimasteoloimazi #χατζης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357775412663902215
diabasmenos,2021-02-05T19:33:15Z,Όσα ζούμε περιγράφει αυτό το τραγούδι. Εξαιρετικά! #φιλιππιδης #Κιμουλης #Σπυροπουλος #μουτσης #χατζης #Lockdown3 #ΑΝΟΙΧΤΕ_ΤΑ_ΟΛΑ_ΝΑ_ΒΓΟΥΜΕ https://t.co/phGb0OZ8Av,,,🏳️‍🌈😈 🔥 💦 🔞 αρκετά τουί περιέχουν ακατάλληλη και σατυρική φρασεολογία  🔞,Twitter for iPhone,el,1357774305568972802
KitrinoIgouana,2021-02-05T19:31:05Z,κάθε μέρα #Χατζής,,,from her twitteternity,Twitter Web App,el,1357773759701266435
LuckyShoLucky,2021-02-05T19:27:42Z,"Αυτές οι αποκαλύψεις έχουν στόχο να μην φοβούνται τα ίδια τα θύματα και τα μελλοντικά θύματα να μιλήσουν ό,τι και να τους συμβεί, όχι να φοβόμαστε εμείς προκαταβολικά! #μουτσης #φιλλιπιδης #χατζης #Λιγναδης #μπεκατωρου #Κιμούλης https://t.co/BQK6DdmgAz",,,Απ' αυτές που δεν πεθαίνουν στις ταινίες.,Twitter Web App,el,1357772907578032132
AZ80984957,2021-02-05T19:26:36Z,#AgriesMelisses #TheVoiceGR #survivorGR #syriza_xeftiles #συριζα_λαμογια #συριζα_ξεφτιλες #χατζης #κυβερνηση_τσιρκο #κυβερνηση_χουντα #Κεραμεως                     Ηλίας Μόσιαλος: Αρκετά με τη συνεχή τρομολαγνεία -Οι επόμενοι μήνες θα είναι μήνες ελπίδας https://t.co/yd2oKBPPYE,,,,Twitter for Android,el,1357772633815801857
llow_office,2021-02-05T19:26:17Z,#φιλιππιδη #Σπυροπουλος  #χατζης #Λιγνάδης Με τον γνωστο δημοσιογραφο  και το διευθυντικο στελεχος του Εθνικου τι γινεται  ???,,,,Twitter Web App,el,1357772553088073730
theemeetreeos,2021-02-05T19:22:35Z,"Η άλλη λέει: η Μουτίδου το κάνει για τις προβολές στο YouTube, εσύ ρε αγάπη γιατί γράφεις στο Twitter για την φουκαριάρα την μάνα σου; 
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357771622523023368
theemeetreeos,2021-02-05T19:15:37Z,"Καιρός για ξεκαθάρισμα σε όλα! 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357769867861127175
theemeetreeos,2021-02-05T19:08:27Z,"Έρχεται και η ώρα του Προνόμιου στην Ελλάδα, αυτό φοβούνται οι προνομιούχοι γι’ αυτό μας λένε να κάτσουμε ήσυχα. Καλύτερα ειλικρινής παρά τέρας.
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357768063115026434
goktoki,2021-02-05T19:07:47Z,"#MeToo #metooGR #metoogreece #φασουλης #χατζης #Φιλιππίδης #Σπυροπουλος #Λιγναδης #eimasteoloimazi 
Ομαδικό σεξ, ανεπιθύμητες εγκυμοσύνες, εκβιασμοί στο θέατρο https://t.co/vRTcZsmWDa",,,OLD ARTIFICIAL INTELLIGENCE 😎,Twitter Web App,el,1357767899398701059
hawkeye79,2021-02-05T19:01:53Z,"Προφανης απάντηση το ""όχι"" στην ερώτηση προς τον πατέρα μου αν άκουσε κάτι για τον #χατζης 2 μέρες τώρα που αφιέρωσε αρκετές ώρες στην τηλεοπτική ενημερωση.",,,"Ακροκεντρώος στην αντιμνημονιακή era, σκατοκεντρώος τώρα",Twitter for Android,el,1357766411284852737
Polanagnostakis,2021-02-05T19:00:23Z,"”ΔΕ με νοιάζει τί λες για εμένα, αρκεί να λες σωστά το όνομά μου'”

Τελικά ήρθε η μέρα που τούς ένοιαξε κ τους τσουτσούρισε...

#Παπαχαραλαμπους #Φιλιππίδης #PameDanai #MeToo #MetooGR #Σπυροπουλος #Λιγναδης #Χατζης #ΖεταΔουκα #Μπεκατώρου #MeTooGr #MeTooGreece #Covid
🤮🤮🤮🤮🤮🤮 https://t.co/kzDKslhR3j",,,"《Εάν ο καυγάς είναι αναπόφευκτος, κτυπά πρώτος》",Twitter for Android,el,1357766036796358656
Simon_Chatz,2021-02-05T19:00:12Z,"Ευρήματα από έρευνα του Transparency International για #σεξβιασμο / #sextortion στη Μέση Ανατολή και τη Βόρεια Αφρική, το 2019.

#Σεξβιασμος #σεξουαλικα_αρπακτικα #μουτσης #σερβου #φιλιππιδης #δροσακη #χατζης #κιμουλης #λιγναδης #σπυροπουλος #μπεκατωρου #μπικοφ #αδαμοπουλος https://t.co/YA05EPHqdn",,,"Σχολιάζω επίκαιρα θέματα. Εκφράζω απόψεις μου. Εν ελλείψει εντολών μου, αυτοχαστουκιστείτε! 
| Entrepreneur, IT manager, Author | Φιλελεύθερος  🇬🇷🇪🇺🌏 |",Twitter Web App,el,1357765988842942467
theemeetreeos,2021-02-05T19:00:10Z,"Όχι φίλοι μου συμφωνούμε ότι διαφωνούμε, δεν είναι ανήθικη και γραφική η Μουτίδου, γιατί λέει αλήθειες.
 #metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357765980009746432
theemeetreeos,2021-02-05T18:58:38Z,"Ο Σταρόβας εκπλήσσεται; Πόσο χρόνων είναι, εγώ 37 και θυμάμαι πως ο Σπυρόπουλος ήταν το πιο «γνωστό» ζιγκολό για διάσημες μεγαλύτερες κύριες στα 90s! 
#metoogr #metoo  #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357765593139736578
theemeetreeos,2021-02-05T18:55:49Z,"Η αλήθεια είναι πάντα στη μόδα και ποτέ γραφική η πασέ, το έχουμε; Να το αφήσω εδώ;
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
 Pop comments and “groupie” moments.",Twitter Web App,el,1357764887762599944
Simon_Chatz,2021-02-05T18:54:25Z,"Ο διεθνής οργανισμός Transparency International εξέδωσε έρευνα που έκανε για to ""sextortion"" to 2020: https://t.co/yz2iaEBTi4

#Σεξβιασμος #σεξουαλικα_αρπακτικα #μουτσης #σερβου #φιλιππιδης #δροσακη #χατζης #κιμουλης #λιγναδης #λιγναδης #σπυροπουλος #μπεκατωρου #μπικοφ #ιατριδου",,,"Σχολιάζω επίκαιρα θέματα. Εκφράζω απόψεις μου. Εν ελλείψει εντολών μου, αυτοχαστουκιστείτε! 
| Entrepreneur, IT manager, Author | Φιλελεύθερος  🇬🇷🇪🇺🌏 |",Twitter Web App,,1357764533704667138
MarkouAthena,2021-02-05T18:50:39Z,#Χατζής https://t.co/RzjvIJHiKM,,,"Τα πράγματα είναι απλά! 
Να είμαστε καλά να απολαμβάνουμε τις στιγμές!!! 
Μόνο αυτό!!!!",Twitter for Android,,1357763583833210883
Simon_Chatz,2021-02-05T18:45:26Z,"Με μία λέξη: ""sextortion""

https://t.co/YB1ATF2APx.

#Σεξβιασμος #χαβουζα_ψυχανωμαλων #σεξουαλικα_αρπακτικα #μουτσης #σερβου #φιλιππιδης #δροσακη #χατζης #κιμουλης #λιγναδης #λιγναδης #σπυροπουλος #μπεκατωρου #κακλαμανακης #μπικοφ #Ιατριδου #Ψυχογιου #μπακογιαννη #αδαμοπουλος",,,"Σχολιάζω επίκαιρα θέματα. Εκφράζω απόψεις μου. Εν ελλείψει εντολών μου, αυτοχαστουκιστείτε! 
| Entrepreneur, IT manager, Author | Φιλελεύθερος  🇬🇷🇪🇺🌏 |",Twitter Web App,,1357762273146793990
