screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
mw41vRTbk27NGGe,2021-02-05T19:20:30Z,Παιδιά μη χτυπιέστε άδικα το σωματείο Ελλήνων ηθοποιών με πρόεδρο τον Μπιμπίλα που όλοι θαυμάζετε δε θα γνωστοποιήσει κανένα στοιχείο από τις καταγγελίες που γίνανε.Πάλι κουκούλωμα. #φιλιππιδης #φιλλιπιδης #φιλιππιδη,,,,Twitter Web App,el,1357771099711414273
kleopatraP2,2021-02-05T19:17:44Z,"Και στην τελική ποιος σου δίνει το δικαίωμα να ασκείς οποιαδήποτε μορφή βίας σε έναν άνθρωπο. Κ-Α-Ν-Ε-Ν-Α-Σ!! Πώς θα σας φαινόταν αν ένας αγαπητός σας άνθρωπος βασανιζόταν με τον ίδιο τρόπο ""κύριοι"" #Φιλιππιδης #Σπυροπουλος #Κιμουλης  #λιγναδη ???",,,,Twitter Web App,el,1357770399921102852
Twidrinker,2021-02-05T19:15:40Z,"Πάει και ο Κρίστοφερ Πλάμερ, χαροπαλεύει και ο Φιλιππίδης",,,"όποιος τολμήσει να με υπνωτίσει, θα τον τυφλώσω.",Twitter for Android,el,1357769879798099968
theemeetreeos,2021-02-05T19:15:37Z,"Καιρός για ξεκαθάρισμα σε όλα! 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #χατζης #μουτσης #masterchefgr #survivorGR",,,"🇬🇷🇺🇸 
NYC
Nothing serious tv comments and “groupie” moments.",Twitter Web App,el,1357769867861127175
Xenitelli,2021-02-05T19:15:11Z,"ζητάει    να    σκεφτουν την οικογένεια   του   #φιλιππιδη  βρε γελιε  , πρωτος   εσυ   δεν την σκέφτηκες, όπως  δεν σκέφτηκες  τις  οικογένειες αυτών που   ενοχλήσεις ..... Τώρα κανεις   τον άρρωστο #Φιλιππιδης",,,Πειραχτηρι,Twitter Web App,el,1357769757991256065
sourikata31,2021-02-05T19:14:51Z,"Οι σειρές που έχει παίξει ο Φιλιππίδης περιγράφουν όλη τη ζωή του ως σημερα:
1. ""Χάι ροκ""
2. ""Ο Πέτρος κ τα κορίτσια του""
3. ""Οι διαπλεκόμενοι""
4. "" Ανατομία ενός εγκλήματος""
5. ""C'est la vie - Έτσι είναι η ζωή""
6. ""Χαιρετά μου τον Πλάτανο"".#φιλιππιδη",,,,Twitter for Android,el,1357769677640929280
i_zirou,2021-02-05T19:14:07Z,"Αυτή η ερμη οικογένεια του  #φιλιππιδη !!!! Πως να νιώθουν με αυτά τα τέρατα που έκανε ο γελοίος.... 😏😏😏😏😏 
#μμε_ξεφτιλες #Σπυροπουλος #κορωνοιος #Φιλιππιδης",,,reality junky 🤦🏻‍♀️🤩,Twitter for iPhone,el,1357769490998702080
Frouku,2021-02-05T19:14:05Z,"Οσοι ηθοποιοι βγαινουν σε πρωιναδικα/μεσημεριανα/δελτια ειδησεων και σχολιαζουν τις παρενοχλησεις των #Φιλιππιδης #Σπυροπουλος #Κιμουλης #λιγναδης κλπ
δεν εχουν πατησει ουτε κουνουπι?
&lt;αθωες περιστερες!&gt;
αντε γεια!😂😂 #toprwino #eutixeite #PameDanai #happyday #popupiliana",,,Frouki frouki,Twitter Web App,el,1357769484828889090
StamiriSevastou,2021-02-05T19:13:05Z,"Κυρια και τοτε και τώρα και παντα.
Ανθρωπος. 
Υπέροχη Κατια Δανδουλάκη 👏🏼
#AgriesMelisses #Φιλιππιδης https://t.co/AZBKfd4pwV",,,"Το προφίλ αυτό είναι αφιερωμένο στην New Era της Ασημίνας Σταμίρη Σεβαστού- που πλέον δεν νιώθει μετέωρη, μετά το γνήσιο υπογραφής Δούκα. #AgriesMelisses 🐝",Twitter for iPhone,el,1357769230129786883
Elaedw3,2021-02-05T19:12:14Z,#Κιμουλης #Φιλιππιδης #Σπυροπουλος ποιον ΣΥΜΠΑΘΟΥΣΕΣ περισσότερο;,,,,Twitter Web App,el,1357769018996903946
theemeetreeos,2021-02-05T19:12:03Z,"Όποιος προσπαθεί να κατευνάσει το αίσθημα και την ίδια την δικαιοσύνη, να πάει από εκεί που ήρθε. 
#metoogr #metoo #Σπυρόπουλος #Κιμουλης #moutidou #miliste
 #Φιλιππίδης #eimasteoloimazi #fasoulis #μουτσης #masterchefgr #survivorGR #starovas",,,"🇬🇷🇺🇸 
NYC
Nothing serious tv comments and “groupie” moments.",Twitter Web App,el,1357768971462860805
vimapress,2021-02-05T19:11:18Z,Εξακολουθεί να νοσηλεύεται ο Πέτρος Φιλιππίδης – Ποιά είναι η κατάσταση της υγείας του; - #ΠέτροςΦιλιππίδης - https://t.co/Lbn2Yx1S8M,,,"Ειδήσεις και νέα από την Θεσσαλονίκη, την Ελλάδα και τον Κόσμο https://t.co/UQrxsJy4Vx",,el,1357768782513659906
yorgisAnyfantis,2021-02-05T19:11:06Z,Ο ημίθεος Φιλιππίδης έβαλε το εξώδικο στο κώλο του https://t.co/pMCthEd4k0,,,"τίποτα δεν είναι ιερό, όλα μπορούν να ειπωθούν----

  ένας εργάτης που διαβάζει - - -


Ποδηλάτης",Twitter for Android,el,1357768733129928717
