screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
ifeltstrange,2021-08-25T17:42:48Z,Φανταζομαι ο μαρκουλακης συνεχώς αναρωτιεται πως μπορει και γελαει ο πρωθυπουργός του. Τι οχι?#Μητσοτακη_ξερεις_εσυ,,,,Twitter for Android,el,1430586473531777029
RedBear42261330,2021-08-24T10:29:45Z,Τι ερμηνιες μας εχει δωσει αυτος ο ανθρωπος.Μεγαλειο ψυχης.Φευγουν και οι τελευταιοι τιτανες του πολιτισμου και μενει ο Ρουβας και ο Μαρκουλακης https://t.co/YrcxHzlMwt,,,,Twitter Web App,el,1430115105094709329
apolwlos,2021-08-23T12:12:47Z,Φύγετε από εκεί καλέ μην έχουμε θύματα και βγει ο Μαρκουλακης να τσιρίζει πάλι. https://t.co/6K4WjhQVA7,,,"unfuck yourself 🌎 Αυτοεξόριστος, κάτοικος του πλανήτη γη",Twitter for iPhone,el,1429778643622969346
taratatzoum31,2021-08-23T08:23:37Z,"Μαρκουλάκης: Μου λένε πολλά για τη γνωστή φράση που είπα τότε «Μας έκαψες κακούργε, πως μπορείς να χαμογελάς; » και γιατί δεν την λέω και τώρα.
Ε λοιπόν θα την ξαναέλεγα μόνο αν είχαμε νεκρούς αλλά ευτυχώς, το τονίζω ευτυχώς, δεν είχαμε θύματα. Είναι μια πραγματικότητα αυτή.",,,"🏴‍☠️σας σιχάθηκε η ψυχή μου, καρκινάκια του πλανήτη, σκατοκαριόλες",Twitter Web App,el,1429720973062909953
Zoro79849701,2021-08-23T08:08:34Z,"Βγήκε ο Μαρκουλάκης και ούρλιαζε : "" 
Μας έκαψες κακούργε, πως μπορείς να χαμογελάς;"" 
Λογικά έπρεπε νομίζω https://t.co/Cvpt5YuN6L",,,Zoro,Twitter for Android,el,1429717185212166144
Liz58392904,2021-08-22T01:11:08Z,#Λιγναδης #λιγναδης_gate #λιγναδης_βιαστης #λιγναδης_παιδοβιαστης #Φιλιππιδης #αρσακειο #μκο #καρυδη #μαρκουλακης #παπακαλιατης #χειλακης https://t.co/IRHwU4WNHs,,,Just curious almost about everything,Twitter Web App,,1429249745445392385
Teleman73257129,2021-08-20T18:26:31Z,#λιγναδης_gate #παπακαλιάτης #metooGR #μαρκουλακης #καρυδη #cancel https://t.co/wQ2WCTHx26,,,,Twitter for Android,,1428785533371703298
MarkouAthena,2021-08-20T13:32:35Z,Ειδική άδεια για να παρακολουθήσουν ο Μαρκουλάκης και η Καρύδη! 😡 https://t.co/St6VJm9wvV,,,"Τα πράγματα είναι απλά! 
Να είμαστε καλά να απολαμβάνουμε τις στιγμές!!! 
Μόνο αυτό!!!!",Twitter for Android,el,1428711565193269249
AKwsta,2021-08-19T06:49:35Z,Μαρκουλάκη που είσαι να μας πεις για τον κακούργο που γέλαγε χθες? Νούμερα! #μαρκουλακης #Μητσοτακη_Ανικανε,,,"Ζήσε τη ζωή σου σαν να ήταν η τελευταία σου μέρα!
Δεν είμαι δέντρο για να ριζωσω κάπου...",Twitter Web App,el,1428247754967502854
alexikeravno,2021-08-18T17:19:10Z,#Μαρκουλάκης #Μητσοτακης #Βιλλια #Μπένος https://t.co/WwNlyfLDPN,,,,Twitter Web App,,1428043810248986629
AntilianKotzai,2021-08-18T16:50:25Z,"Η χώρα καίγεται και ο #Μητσοτάκης γελάει. Που είναι τώρα ο Μαρκουλάκης να αντιγράψει τον σαιξπηρικό Άμλετ: ""Α, εσύ κακούργε, πως μπορείς ακόμη να χαμογελάς"" https://t.co/CDtk8RXDw5",,,"Εάν τρέμεις από αγανάκτηση για κάθε αδικία, τότε είσαι σύντροφος μου..",Twitter Web App,el,1428036575754063874
Dikefa_Litsa,2021-08-17T16:38:35Z,"#Μητσοτακη_γαμιέσαι
Κούλη πως τ πέρασες στη βίλα;
ο φίλος σου ο Μαρκουλάκης τ έμαθε; https://t.co/wdJhf4DFT7",,,"όταν σε βλέπω η 💛 μου χτυπά πιο δυνατά
💣ORIGINAL21💣",Twitter for Android,el,1427671206048804865
alexikeravno,2021-08-14T14:32:48Z,"Αυτή η πσυχούλα ο Κωνστανίνος ο Μαρκουλάκης που χάθηκε; Τώρα που τον έχουν ανάγκη ... 
να πει μια κουβέντα; 
ένα πως τολμάς να γελάς....@grpsarianos @neademokratia #ανασχηματισμος #Μητσοτάκη #με_τη_μάνικα_στο_χέρι",,,,Twitter Web App,el,1426552388563918849
ArximidisL,2021-08-14T09:32:44Z,"Ο Μαρκουλάκης ρε, ο κατά τα άλλα άριστος...... https://t.co/NYNq4f9TAt",,,Σκοτεινό διάλειμμα που ξεκίνησε στις 7/7/2019 και πολύ σύντομα θα τελειώσει!!!,Twitter for Android,el,1426476873752760320
fraulitsa_lol,2021-08-13T06:58:49Z,"《Α, εσυ κακουργε, πως μπορείς ακόμα να χαμογελάς》

Κωνσταντινος Μαρκουλακης

#συνεντευξη 
#συνεντευξη_Μητσοτακη https://t.co/whH9uuGKPz",,,"Mettre du beurre dans les épinards🌵
Βάζω βούτυρο στα αγκάθια🐛

επίσης, 
πεταλώνω ψύλλους😛 

                                 Résident de France🗼",Twitter for Android,el,1426075755205861391
