screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
dranisart,2021-02-05T20:32:11Z,"#Μενδωνη #Λιγναδης #εθνικο_θεατρο #νδ 
Μενδώνη, Λιγνάδης κι εθνικό θέατρο με το πενάκι του Dranis https://t.co/kuXUfEkIgx via @thebestportal",,,,Twitter Web App,el,1357789138951540743
Evil_Queen35,2021-02-05T20:23:03Z,#χατζης #Φιλιππιδης #μουτσης #Κιμουλης #Σπυροπουλος #ζαππας #Λιγναδης Ξεχασα κανέναν? ΑΝΑΦΕΡΕΤΕ ΤΟΥΣ ΡΕ!!! ΞΕΜΠΡΟΣΤΙΑΣΤΕ ΤΟΥΣ ΞΕΦΤΙΛΕΣ!,,,το πιο υπεροχο πραγμα στη ζωη ειναι να αγαπας και να αγαπιεσαι απο καποιον!!!!,Twitter for Android,el,1357786837646008323
MissAngelikaki,2021-02-05T20:22:50Z,Για να στείλουμε και εμείς το μήνυμά μας. Έχετε τη διάθεση να παρακολουθήστε ξανά έργο ή σειρά που συμμετέχουν ή εμπλέκονται οι ηθοποιοί της επικαιρότητας ; #φιλιππιδη #Λιγνάδης #Κιμουλης #Σπυροπουλος #MeToo,,,My life:👩‍💻🧳📸🏖️🌎❤️🌅👨‍🦰💃✈️🎶🌺🏊🌊,Twitter for Android,el,1357786786177638403
xeftila20,2021-02-05T20:18:09Z,"Τρέμεις σαν παιδί μήπως σε ανακαλύψουν
Βάζεις τη στολή να μη σε αγγίξουνε τα πως και τα γιατί....
Άνθρωπος και εγώ και απόψε θα φωνάξω
άνθρωπος και εγώ, βαρέθηκα, θα αλλάξω
#metooGR #metoo #φιλλιπιδης #φιλιππιδη #Σπυροπουλος #Κιμουλης  #Λιγναδης #χατζης @EvridikiTheo https://t.co/qmoUnL5I8y",,,,Twitter for iPad,el,1357785607263707138
PolitouPeggy,2021-02-05T20:16:30Z,"Πολύ σωστή τοποθέτηση. Όσοι δεν παίρνουν θέση, χάνουν το κοινό τους. Δεν θα τρέχει ο κόσμος πίσω από ισαποστακηδες ούτε θα τους πληρώνει πια. Θέλουμε ανθρώπους με σταθερές θέσεις και ήθος 
#Φιλιππιδης #Σπυροπουλος #Κιμουλης #φασουλης #χαλκιας #Λιγνάδης https://t.co/nH1aIPKYjS",,,"ενεργειακες θεραπείες
στιχουργος",Twitter for Android,el,1357785189351628807
PolitouPeggy,2021-02-05T20:02:18Z,"Περιμένουμε με αγωνία το νεότερο ανακοινωθέν για την περιπτωσαρα του.
#Φιλιππιδης #Σπυροπουλος #Λιγνάδης #χατζης #Κιμουλης https://t.co/Bef0Gm3OiX",,,"ενεργειακες θεραπείες
στιχουργος",Twitter for Android,el,1357781618467995653
swrraiomoutro,2021-02-05T20:00:29Z,#χατζης #λιγναδης θα τους καλύψετε αυτούς ;;;,,,,Twitter for iPhone,el,1357781159766286338
apasokikos,2021-02-05T20:00:18Z,"Αυτό κι αν είναι ντέρμπι 👇👇👇
Ψηφιστε

#olypao #metoo #AgriesMelisses #SuperMakeOverGR #radioarvyla #φιλλιπιδης #χατζης #Λιγναδης #Κιμούλης #Σπυρόπουλος #μουτσης #Φιλιππιδης #radioarvyla #aggeliki #Exapsi https://t.co/oJpt6CEtIN",,,"Προοδευτικός και πατριώτης. Το πρωί πολιτική, το βράδυ ριαλιτι. 😎",Twitter for Android,el,1357781114568511489
souzisouzana1,2021-02-05T19:58:15Z,Εγω παντως αν με κακοποιουσε σεξουαλικα ο #Στανκογλου δε θα ειχα κανενα θεμα! 😂😂😂#Σπυροπουλος #μουτσης #Κιμούλης #Λιγνάδης #Ζαπας #Φιλιππίδης #φιλιππιδη  #φιλλιπιδης,,,,Twitter for iPhone,el,1357780596429357060
VellerePhonte,2021-02-05T19:49:23Z,#Κιμουλης #Φιλιππιδης #φιλλιπιδης #Λιγναδης #MpimpilaMila https://t.co/ofZCwQ5iZf,,,,Twitter Web App,,1357778367374913540
