screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
GPolyzoidis,2021-02-05T09:18:15Z,"Με το που λέει κάποιος ( οποιοσδήποτε ) το Κυπριακό , τον σταματάς και του λες , δεν υπάρχει Κυπριακό ! 
Υπάρχει το Τουρκικό πρόβλημα! 
Όπως δεν υπάρχει το προβληματα της Μπεκατώρου. https://t.co/zgHJDiGWEL",,,Όπου με αφήνουν λέω τη γνώμη μου,Twitter Web App,el,1357619537852698626
ModusOperandi71,2021-02-05T09:13:40Z,"Η κοινωνία μας είναι γεμάτη με δειλούς, κρυπτόμενους πίσω από κουκούλες και ψευδώνυμα! Είναι ξέχειλη από ανθρωποειδή σαν το @ax_koula, που δεν τολμούν να κοιτάξουν κατάματα όποιους επικρίνουν! Μάστιγα! #μπεκατώρου #κακλαμανακης https://t.co/uShfUE09ti",,,Illegitimi non carborundum / El Duderino / Youth is being wasted on the young!,Twitter for iPhone,el,1357618384943333378
coffeeradiogr,2021-02-05T08:58:43Z,Πανικός! Ούρλιαζε η Μαρία Μπεκατώρου και έφυγε τρέχοντας! - https://t.co/nj06qyNJGM,,,"https://t.co/Os1aUjcu9S High Quality Music, Coffee Music, for Coffee Shops, Hotels, Shops and for Everyone. 100% follow back.",Coffee Radio,el,1357614619238498304
Lautramont3,2021-02-05T08:56:49Z,"Η κοινωνία μας επιτέλους κάνει ένα βήμα μπροστά, με αλήθεια και δικαιοσύνη. Μπράβο στις γυναίκες που μιλούν. Έτσι χτίζεται μια καλύτερη γενιά ανθρώπων #παπαχαραλαμπους #αναστασοπούλου #δροσακη #μπεκατωρου #eimasteoloimazi",,,"One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.” Goethe",Twitter Web App,el,1357614141918375939
Passenger_alex,2021-02-05T08:54:51Z,Πως αντέχεις τόση περιφρόνηση (από όσους έχεις βλάψει); Τελικά θα μείνεις μόνος σε ένα δωμάτιο με σκιές με τις αναμνήσεις ανθρώπων που κατάστρεψες. Ταινία Runaway Jury (2003) #φιλλιπιδης #μουτσης #χατζης  #Κιμούλης #Σπυροπουλος #Φιλιππίδης #Λιγνάδης #μπεκατώρου #ΖεταΔουκα,,,,Twitter Web App,el,1357613647024054272
CavaData,2021-02-05T08:43:00Z,"Τι έπαιρνε ο #Φιλιππίδης και παρ' ενόχλησε τόσες ρε παιδιά?
Θα φτιάξουμε την ""οδό"" Σοφίας #Μπεκατώρου? https://t.co/5XfiQtyCVL",,,"💎Πίκρα στα χείλη, με μια βουλή💎
💎να μου φυσάει το καντήλι💎
💎dm-just for emergency💎
💎Ανένταχτος πλέον💎",Twitter Web App,el,1357610665700171777
GiannesT1,2021-02-05T08:36:06Z,"#μπεκατώρου
Κακοποίηση γυναικών: Συνεχείς καταγγελίες και «αυτόκλητοι» υπερασπιστές via @https://twitter.com/PRINgr https://t.co/j61EAcNKnW",,,"8 Άνθρωποι στον Κόσμο,Κατέχουν Πλούτο,πού Αντιστοιχεί με τίς Περιουσίες 3.700.000.000 Ανθρώπων,όσο ό Μισός Πληθυσμός τής Γής.
Αυτός είναι ό Καπιταλισμός Ηλίθιε.",Twitter for Android,el,1357608930176868353
Karavanapalia1,2021-02-05T08:27:56Z,Υπάρχει καμία αμφιβολια ότι η Μπεκατωρου είναι μια κοινή πουτανα και πως εξαιτίας της πολύ σοβαρά περιστατικά περνάνε στο ντούκου; #μπεκατωρου,,,Greek to the bone Aris Hellas Macedonia,Twitter for Android,el,1357606874141622274
georkyri4,2021-02-05T08:20:21Z,Για να είμαστε σωστοί την αρχή την έκανε η Ελένη Σταμίρη και όχι η Μπεκατώρου. #toprwino #happyday,,,,Twitter for Android,el,1357604966123323394
RebeccaBivens6,2021-02-05T07:41:22Z,"Jǔst wǎntɨng tö let you knŏw that I’m lyіng ön mɣ bed nakĕd thɨnking abŏut yoǔ. ❤
 #Μπεκατωρου https://t.co/KzVtEOlTrB",,,Fuck me like your own me. 🔞,Twitter Web App,et,1357595153494659072
Aigaioglaros22,2021-02-05T07:41:17Z,#AgriesMelisses #survivorGR #φιλλιπιδης #Κιμουλης #χατζης #μπεκατωρου #μποτση #Μπογδανος #μητσοτακη #κυβερνηση_Μητσοτακη #κορωνοιος https://t.co/uyCXG1ufuT,,,"Αντι-προοδευτικούλης, αντι-ανθέλληνας. Δεν είμαι καν της συντήρησης, είμαι προϊόν βαθιάς κατάψυξης ...",Twitter Web App,,1357595133093572610
WomenAct1,2021-02-05T07:33:44Z,Την Δευτέρα η συζήτηση μας με τις @mariasyrengela @ZefiDimadama και Σοφία Μπεκατώρου για την Ηγεσία στη Δημόσια Σφαίρα. https://t.co/YrWu2XAY25,,,NGO Empowering Women in the Public Sphere,Twitter for iPhone,el,1357593233321205760
Kimberl94362219,2021-02-05T07:09:36Z,"#Μπεκατωρου
 Fǔck mĕ lɨkĕ уǒur own me. https://t.co/e8V3OakflZ",,,I can’t wait to have you inside me. 🍑,Twitter Web App,vi,1357587161722327040
