screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
MissBloomgr,2021-08-24T15:28:40Z,Τζένη Μπότση | Η απογευματινή βόλτα με την Αλίκη - Η νέα φωτογραφία της κόρης της https://t.co/NO9KReMGmM,,,"To Missbloom αναδεικνύει τις κορυφαίες τάσεις, τις τελευταίες ειδήσεις και τις πιο σημαντικές στιγμές στη γυναικεία μόδα, την ομορφιά και την ενημέρωση.",Echobox,el,1430190329517514765
wwwstargr,2021-08-23T20:35:28Z,"Ένα από τα ωραιότερα καλοκαίρια της ζωής της βιώνει η Τζένη Μπότση, αφού το περνά μαζί με την μονάκριβη κόρη της #StarGrLifestyle https://t.co/hga0WiI9zD",,,"https://t.co/3sSPfZktbx για ό,τι σε αφορά
➡Με ένα κλικ μάθε ό,τι συμβαίνει στην Ελλάδα και τον Κόσμο. Διάβασε Lifestyle νέα, 📽δες video, άκουσε 🎙Podcasts, παίξε ❓Quiz",Echobox,el,1429905149049413637
FTHISGR,2021-08-23T18:30:36Z,"Τζένη Μπότση: Έτσι πέρασε το απόγευμά της μαζί με την κόρη της, Αλίκη (Φωτογραφία) https://t.co/wN0eVm9pCk",,,"Follow this... Για να είσαι πάντα μπροστά!
➡️ Κατέβασε δωρεάν την εφαρμογή του FTHIS από το Google Play ή το App Store για να είσαι πάντα ενημερωμένος!",Twitter Web App,el,1429873727081173006
YupiiiGR,2021-08-19T20:18:02Z,Τζένη Μπότση | Διακοπές στην Ικαρία με την κόρη της - Η φωτογραφία με την κατάξανθη Αλίκη https://t.co/azGo5YbXDK,,,"Ό,τι σου αρέσει, είναι στο Yupiii",Echobox,el,1428451211813007361
AthForthnet,2021-08-19T14:41:26Z,"Τζένη Μπότση | Η νέα φωτογραφία από την Ικαρία με τον σύντροφο και την κόρη τους, Αλίκη https://t.co/ZXJaqgXJPQ",,,,Twitter Web App,el,1428366503015976961
wwwstargr,2021-08-19T14:32:10Z,Η Τζένη Μπότση ανέβασε ένα στιγμιότυπο με τους τρεις τους από το νησί την ώρα που κοιτάζουν τον ουρανό και παρατηρούν έναν άνθρωπο που κάνει sky diving. #StarGrLifestyle https://t.co/BsIhJzUiRI,,,"https://t.co/3sSPfZktbx για ό,τι σε αφορά
➡Με ένα κλικ μάθε ό,τι συμβαίνει στην Ελλάδα και τον Κόσμο. Διάβασε Lifestyle νέα, 📽δες video, άκουσε 🎙Podcasts, παίξε ❓Quiz",Echobox,el,1428364170475360263
MissBloomgr,2021-08-19T13:52:45Z,"Τζένη Μπότση | Η νέα φωτογραφία από την Ικαρία με τον σύντροφο και την κόρη τους, Αλίκη https://t.co/EOimo48rJB",,,"To Missbloom αναδεικνύει τις κορυφαίες τάσεις, τις τελευταίες ειδήσεις και τις πιο σημαντικές στιγμές στη γυναικεία μόδα, την ομορφιά και την ενημέρωση.",Echobox,el,1428354251827253251
radio4_GR,2021-08-19T10:25:08Z,Τζένη Μπότση: Η καλοκαιρινή φώτο με τον σύντροφό της και την κόρη τους - https://t.co/E4nNNWPSf7 https://t.co/VVx5mdaZ1s,,,"Μουσική Χωρίς Διαφημίσεις - Non Stop Music - Καλλιτεχνικά νέα,  άρθρα, ειδήσεις για τη νεολαία- νέες κυκλοφορίες - Lifestyle - ενημέρωση χωρίς διαφημίσεις.",radio4newrss,el,1428302003537694720
sofokleous10,2021-08-18T19:48:27Z,Τζένη Μπότση | Διακοπές στην Ικαρία με την κόρη της – Η φωτογραφία με την κατάξανθη Αλίκη https://t.co/yxJ6edmaYQ,,,"NEWS/MEDIA COMPANY
Για έγκαιρη και έγκυρη Οικονομική Ενημέρωση....  
Δείτε επίσης:
https://t.co/5QARLNWjPK 
https://t.co/oEbLO7uzZz
https://t.co/wocLZJWArW
https://t.co/dVSc6TQANw",ContentStudio.io,el,1428081377065455619
thetimesgr,2021-08-18T19:12:05Z,Τζένη Μπότση | Διακοπές στην Ικαρία με την κόρη της – Η φωτογραφία με την κατάξανθη Αλίκη https://t.co/TZoe7llTuS,,,,dlvr.it,el,1428072224360075264
YupiiiGR,2021-08-18T18:26:58Z,Τζένη Μπότση | Διακοπές στην Ικαρία με την κόρη της - Η φωτογραφία με την κατάξανθη Αλίκη https://t.co/UXYvgCxYD2,,,"Ό,τι σου αρέσει, είναι στο Yupiii",Echobox,el,1428060873231319046
Timelinegr_,2021-08-18T18:07:07Z,Τζένη #Μπότση: Η τρυφερή φωτογραφία με τον σύζυγο και την κόρη τους https://t.co/KOq08GVyIV,,,"Tο TIMELINE είναι μια ενημερωτική ιστοσελίδα, με ειδήσεις για την πολιτική, την οικονομία, τον πολιτισμό και τον αθλητισμό.",Twitter Web App,el,1428055877429436427
