screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
StartmediaCorfu,2021-08-25T11:15:16Z,Δωρεά του πορτραίτου του Ι. Καποδίστρια στο Δήμο Κ. Κέρκυρας από την εικαστικό Στ. Καρύδη - https://t.co/k3ElsxYtnQ https://t.co/TeBEkrvNd0,,,StartMedia is a regional news network consisted of Start TV - Radio Kerkyra 100.1 and Startmedia.gr.,Startmediacordu app,el,1430488946413297668
in_gr,2021-08-24T12:05:58Z,"H Σμαράγδα Καρύδη ανυπομονεί για το νέο πρόγραμμα του @MegaTvOfficial 
#ΜegaNeoProgramma #ToMegaToKalo
 https://t.co/uR04gH1Pc3",,,The leading news site in Greece,Twitter Web App,el,1430139315586228225
wwwstargr,2021-08-22T18:18:45Z,"Μπορεί το καλοκαίρι να πλησιάζει προς το τέλος του, ωστόσο η Σμαράγδα Καρύδη συνεχίζει να περνάει το καλοκαίρι της στην Αίγινα. #StarGrLifestyle https://t.co/BLaQ3SKzmk",,,"https://t.co/3sSPfZktbx για ό,τι σε αφορά
➡Με ένα κλικ μάθε ό,τι συμβαίνει στην Ελλάδα και τον Κόσμο. Διάβασε Lifestyle νέα, 📽δες video, άκουσε 🎙Podcasts, παίξε ❓Quiz",Echobox,el,1429508356365066242
The_Funhaver,2021-08-22T09:50:57Z,Σμαραγδι Καρύδη / Going bananas with nut-ural yogurt 😋 @ Dexamenes Seaside Hotel https://t.co/e60ztn0tqI,,,Bio-παλαιστής,Instagram,,1429380562389700612
Liz58392904,2021-08-22T01:11:08Z,#Λιγναδης #λιγναδης_gate #λιγναδης_βιαστης #λιγναδης_παιδοβιαστης #Φιλιππιδης #αρσακειο #μκο #καρυδη #μαρκουλακης #παπακαλιατης #χειλακης https://t.co/IRHwU4WNHs,,,Just curious almost about everything,Twitter Web App,,1429249745445392385
Teleman73257129,2021-08-20T18:26:31Z,#λιγναδης_gate #παπακαλιάτης #metooGR #μαρκουλακης #καρυδη #cancel https://t.co/wQ2WCTHx26,,,,Twitter for Android,,1428785533371703298
MarkouAthena,2021-08-20T13:32:35Z,Ειδική άδεια για να παρακολουθήσουν ο Μαρκουλάκης και η Καρύδη! 😡 https://t.co/St6VJm9wvV,,,"Τα πράγματα είναι απλά! 
Να είμαστε καλά να απολαμβάνουμε τις στιγμές!!! 
Μόνο αυτό!!!!",Twitter for Android,el,1428711565193269249
KValeraina,2021-08-19T13:42:53Z,Εν τω μεταξύ ο Κρατερός πόσο ΠΑΝΑΓΙΑΜΟΥΘΑΣΚΟΤΩΘΟΥΜΕ σ αυτή τη χαζοσειρα που παιζε με την Καρύδη,,,"Nihilist in the streets - existentialist in the sheets

https://t.co/EvnxU9RK9Z",Twitter for Android,el,1428351769294237701
Chrisaaesthetic,2021-08-18T19:24:44Z,Έχουν Παπαρωσει τα χέρια του από το τριψε τρίψε που έχει ρίξει ν ξεπλένει κάθε αποβρασμα!!!!!! #λιγναδης #φιλιππίδης  #καρυδη #αθεριδης κ όλο το κακό συναπάντημα!!!! https://t.co/lgB8dNjTZQ,,,,Twitter for Android,el,1428075407492931594
GribovicZapata,2021-08-14T09:16:09Z,"Εφήμερες προσωπικότητες σαν αυτούς που αμφισβητούσαν την αριστεροσύνη των τεχνων (βλ. Μαρκουλάκη,Λιγνάδη,Καρύδη) θεωροντας τους εαυτούς του ανώτερους,ταυτίζονται με απόψεις συστημικών μεγαλοδημοσιογράφων περί ασφάλισης κατοικιών και και...Ο λαός υποφέρει κυρίες/οι μην προκαλείτε.",,,"Φασίστες, ρατσιστές και ομοφοβικοί μπούλο πανηγυρικό!!!!",Twitter for Android,el,1426472704002101249
NextDeal_gr,2021-08-11T08:27:16Z,"Οδηγίες για προστασία του αναπνευστικού από έκθεση σε καπνό από την πνευμονολόγο Παναγιώτα Καρύδη (Metropolitan General)!
https://t.co/geRG6cjtjw",,,"Καθημερινή ενημέρωση για την ασφαλιστική αγορά και τον χρηματοοικονομικό κόσμο   
- Insurance Market News Greece",Hootsuite Inc.,el,1425373235080740866
gensansimera,2021-08-09T20:30:05Z,"1969 - Σμαράγδα Καρύδη, Ελληνίδα ηθοποιός
 https://t.co/fkdHpJLaKU",,,Ποιοί γεννήθηκαν σαν σήμερα; by @imargonis,gennithikesansimera,el,1424830362883002374
constads,2021-08-09T11:43:25Z,"Ο Βενέτης προσφέρει δωρεάν καφέ, φαγητό και νερό σε μπάτσους στην Κηφισιά (ααα και σε πυροσβέστες). Οι πυρόπληκτοι να πάνε να γαμηθούνε. Τυχαίο ότι είχαν επιλέξει να τους διαφημίσουν επί χρόνια η Καρυδη και ο Αθεριδης. https://t.co/mpd4rsfMkO",,,,Twitter for Android,el,1424697823510114309
stellasyriga,2021-08-07T16:39:01Z,"Εκείνη η ψυχούλα η Αφροδίτη Μάνου, πού να είναι άραγε; Ο Νιόνιος που του άρεσε ο ΠΘ γιατί είναι καλοντυμένος; Η Καρύδη, ο Αθερίδης, ο Μαρκουλάκης; Δεν θα βγουν να μας πουν τί γαμ.......η κυβερνησάρα έχουμε; #πυρκαγιες",,,,Twitter for Android,el,1424047437031919619
kanekos69,2021-08-04T13:51:42Z,"2018: Γρηγόρης Πετράκος: «Άντε να εξηγήσεις στην κυρία Καρύδη τι είναι προσευχή» #PrayForGreece

2021: Άντε να εξηγήσεις στον Πετράκο τι είναι πανδημια και στην Καρύδη τι είναι προστασία παιδοβιαστη",,,"καφριλες επικαιρότητας, απαισιόλοξος διαστροφολόγος κυνικός, atheist,antisocial pervert, copypasta enthusiast, permanently immature retard, PROUD TO BE MALAKAS",Twitter for Android,el,1422918168813711368
corfutvnews,2021-08-03T15:54:09Z,Απάντηση Καρύδη σε Καλούδη: Σε τι συνεισφέρατε τόσα χρόνια για την επίλυση του υδρευτικού της Κέρκυρας; https://t.co/gqTPdSReVM,,,Διαρκής ενημέρωση για ότι συμβαίνει στην Κέρκυρα και όχι μόνο!,Integromat,el,1422586596612788226
Felinikia,2021-08-03T13:16:22Z,"Απαξιώνουμε τις #Μπεκατώρου &amp; #Παπαχαραλάμπους για τη φωτογραφία με την Καρύδη, γιατί ""πώς θα νιώσουν τα θύματα του #Λιγνάδης"", αλλά το απαράδεκτο 'ρεπορτάζ' της Μπαμ, που βγάζει φόρα παρτίδα ιδιωτικές φωτογραφίες&amp;μηνύματα ΑΝΗΛΙΚΟΥ ΘΥΜΑΤΟΣ👇#metoogr",,,"Επαναπατρισμένη κατά των επαναπατρισμών. 
Εργασιομανής μετά το burnout.",Twitter Web App,el,1422546887358488579
StartmediaCorfu,2021-08-03T12:53:38Z,Σκληρή απάντηση Γ. Καρύδη σε Γ. Καλούδη για το υδρευτικό της Κέρκυρας - https://t.co/aiysA3MabF https://t.co/F9Vd6H3tEk,,,StartMedia is a regional news network consisted of Start TV - Radio Kerkyra 100.1 and Startmedia.gr.,Startmediacordu app,el,1422541166852120576
kerkyrasimera,2021-08-03T11:56:28Z,Απάντηση Καρύδη σε Καλούδη: Σε τι συνεισφέρατε τόσα χρόνια για την επίλυση του υδρευτικού της Κέρκυρας; https://t.co/kQMnS505Z1,,,ΗΜΕΡΗΣΙΑ ΚΕΡΚΥΡΑΙΚΗ ΕΦΗΜΕΡΙΔΑ- ΟΙ ΕΙΔΗΣΕΙΣ ΞΕΚΙΝΟΥΝ ΕΔΩ,Twitter Web App,el,1422526779965808641
Sofia81S,2021-08-02T15:21:21Z,"Εξοικονόμηση ενέργειας κατά τ’άλλα και τα πλυντήρια για #Λιγναδης_gate να δουλεύουν ασταμάτητα ! Ε, όχι , #ΚαμιαΑνοχη #ιωαννιδου #χειλακης #καρυδη #Μαρκουλακης #Σταροβας #Μπαρμπα #μμε_ξεφτιλες #η_πολλη_δημοσιοτητα_βλαπτει https://t.co/sd7IV43lrG",,,,Twitter for iPhone,el,1422215952377257987
Sofia81S,2021-08-01T14:52:23Z,"Αυτά είναι νέα..! #χειλακης #καρυδη
#Μαρκουλακης #χατζηνικος #Λιγναδης_gate #Ηλιουπολη #Μπαμπινιωτης #Φιλιππιδης #ΚαμιαΑνοχη https://t.co/g83UdoVrTQ",,,,Twitter for iPhone,el,1421846275759251459
